role,Term,numdocs
Adv,a bordo,815.0
Adv,a caballo,12.0
Adv,a cabo,4248.0
Adv,a centenares,2.0
Adv,a ciegas,3.0
Adv,a cielo abierto,23.0
Adv,a ciencia cierta,8.0
Conj,a condición de que,1217.0
Prep,a consecuencia de,248.0
Prep,a costa de,22.0
Prep,a cuenta de,56.0
Adv,a dentro,2.0
Prep,a diferencia de,149.0
Adv,a discreción,92.0
Adv,a expensas,82.0
Prep,a favor de,665.0
Prep,a fin de,4375.0
Conj,a fin de que,873.0
Prep,a fuerza de,2.0
Adv,a granel,371.0
Adv,a guisa de,2.0
Adv,a gusto,3.0
Adv,a hilo,11.0
Adv,a jornal,2.0
Adv,a la antigua,22.0
Adv,a la brida,5.0
Adv,a la carrera,9.0
Adv,a la continua,8.0
Adv,a la derecha,102.0
Adv,a la fuerza,31.0
Adv,a la hora,1215.0
Adv,a la intemperie,19.0
Adv,a la larga,22.0
Adv,a la ligera,6.0
Adv,a la medida,135.0
Adv,a la moda,2.0
Adv,a la par,51.0
Adv,a la postre,14.0
Adv,a la sazón,10.0
Adv,a la vista,818.0
Adv,a la vuelta,5.0
Adv,a la zaga,9.0
Adv,a las ancas,2.0
Adv,a las claras,4.0
Adv,a las primeras,20.0
Adv,a lo más,2.0
Adv,a los principios,522.0
Adv,a malas,2.0
Adv,a manera,2.0
Adv,a mano,249.0
Adv,a mano armada,8.0
Adv,a medias,6.0
Conj,a menos que,1250.0
Adv,a menudo,685.0
Adv,a modo,170.0
Adv,a muerte,25.0
Adv,a más,4345.0
Adv,a oscuras,5.0
Adv,a par,5.0
Adv,a penas,14.0
Adv,a pesar,927.0
Conj,a pesar de que,320.0
Adv,a pie,367.0
Adv,a poco,6.0
Adv,a posteriori,400.0
Adv,a primera vista,56.0
Adv,a priori,112.0
Adv,a propósito,81.0
Adv,a prorrata,81.0
Adv,a puertas,5.0
Adv,a punto,235.0
Adv,a ras,6.0
Adv,a razón,93.0
Prep,a razón de,171.0
Prep,a raíz de,1253.0
Prep,a reserva de,487.0
Adv,a sabiendas,31.0
Adv,a salvo,15.0
Adv,a simple vista,37.0
Adv,a su vez,853.0
Adv,a tiempo,383.0
Adv,a tiempos,7.0
Adv,a toda costa,10.0
Prep,a través,67.0
Prep,a través de,3014.0
Prep,a través del,1217.0
Adv,a trechos,5.0
Adv,a título,802.0
Adv,a ultranza,3.0
Adv,a un tiempo,33.0
Adv,a uso,67.0
Adv,a veces,391.0
Adv,a voluntad,15.0
Adv,a última hora,7.0
Adv,a. c.,4.0
Adv,a. m.,5.0
Adv,ab intestato,2.0
Prep,acerca de,1669.0
Adv,ad hoc,413.0
Adv,ad libitum,2.0
Adv,ad referendum,3.0
Prep,además de,2049.0
Conj,ahora bien,314.0
Adv,ahora mismo,6.0
Adv,al aire libre,142.0
Adv,al cabo,5.0
Prep,al cabo de,154.0
Prep,al cabo del,5.0
