DATE,STEEL
1937-01-01,3.89
1938-01-01,2.41
1939-01-01,2.8
1940-01-01,8.72
1941-01-01,7.12
1942-01-01,7.24
1943-01-01,7.15
1944-01-01,6.05
1945-01-01,5.21
1946-01-01,5.03
1947-01-01,6.88
1948-01-01,4.7
1949-01-01,5.06
1950-01-01,3.16
1951-01-01,3.62
1952-01-01,4.55
1953-01-01,2.43
1954-01-01,3.16
1955-01-01,4.55
1956-01-01,5.17
1957-01-01,6.95
1958-01-01,3.46
1959-01-01,2.13
1960-01-01,3.47
1961-01-01,2.79
1962-01-01,2.52
1963-01-01,2.8
1964-01-01,4.04
1965-01-01,3.08
1966-01-01,2.28
1967-01-01,2.17
1968-01-01,2.78
1969-01-01,5.94
1970-01-01,8.14
1971-01-01,3.55
1972-01-01,3.61
1973-01-01,5.06
1974-01-01,7.13
1975-01-01,4.15
1976-01-01,3.86
1977-01-01,3.22
1978-01-01,3.5
1979-01-01,3.76
1980-01-01,5.11
