Stock,Date,Open,High,Low,Close,Volume,AdjClose
IBM,2005-12-01,89.15,89.92,81.56,82.2,5976252.0,81.37
IBM,2005-11-01,81.85,89.94,80.64,88.9,5556471.0,88.01
IBM,2005-10-03,80.22,84.6,78.7,81.88,7019666.0,80.86
IBM,2005-09-01,80.16,82.11,76.93,80.22,5772280.0,79.22
IBM,2005-08-01,83.0,84.2,79.87,80.62,4801386.0,79.62
IBM,2005-07-01,74.3,85.11,74.16,83.46,8056590.0,82.23
IBM,2005-06-01,75.57,77.73,73.45,74.2,6439536.0,73.1
IBM,2005-05-02,76.88,78.11,72.5,75.55,6896904.0,74.43
IBM,2005-04-01,91.49,91.76,71.85,76.38,10709200.0,75.05
IBM,2005-03-01,92.64,93.73,89.09,91.38,5025627.0,89.79
IBM,2005-02-01,93.67,94.97,91.55,92.58,4455657.0,90.97
IBM,2005-01-03,98.97,99.1,91.44,93.42,5960945.0,91.62
IBM,2004-12-01,94.5,99.0,94.47,98.58,5043800.0,96.68
IBM,2004-11-01,89.33,96.63,89.23,94.24,5754876.0,92.42
IBM,2004-10-01,85.95,90.27,84.29,89.75,5839742.0,87.85
IBM,2004-09-01,84.05,87.28,83.24,85.74,4719252.0,83.93
IBM,2004-08-02,86.87,87.39,81.9,84.69,4298600.0,82.9
IBM,2004-07-01,88.28,88.44,83.42,87.07,5929023.0,85.05
IBM,2004-06-01,88.0,91.21,87.3,88.15,4604409.0,86.1
IBM,2004-05-03,88.13,89.75,85.12,88.59,5395555.0,86.53
IBM,2004-04-01,91.67,94.55,88.01,88.17,5507214.0,85.95
IBM,2004-03-01,96.5,97.6,90.28,91.84,5612921.0,89.53
IBM,2004-02-02,99.15,100.43,95.2,96.5,5392468.0,94.07
IBM,2004-01-02,92.86,99.85,89.01,99.23,7275305.0,96.57
IBM,2003-12-01,90.9,94.12,90.03,92.68,5492295.0,90.2
IBM,2003-11-03,89.9,91.48,87.72,90.54,5271663.0,88.12
IBM,2003-10-01,88.75,94.54,87.53,89.48,6999200.0,86.93
IBM,2003-09-02,82.4,93.47,82.3,88.33,8523800.0,85.81
IBM,2003-08-01,81.15,84.72,78.73,82.01,5624661.0,79.67
IBM,2003-07-01,81.4,87.03,80.58,81.25,7362086.0,78.77
IBM,2003-06-02,89.0,89.08,79.81,82.5,9163771.0,79.98
IBM,2003-05-01,85.3,90.4,84.45,88.04,7415819.0,85.36
IBM,2003-04-01,78.5,86.49,78.12,84.9,8872342.0,82.16
IBM,2003-03-03,78.9,84.9,73.17,78.43,9624114.0,75.9
IBM,2003-02-03,78.2,80.05,74.31,77.95,8013573.0,75.44
IBM,2003-01-02,78.8,88.95,77.02,78.2,9698933.0,75.53
IBM,2002-12-02,88.6,89.46,75.6,77.5,7592138.0,74.85
IBM,2002-11-01,78.9,88.11,76.7,86.92,9370940.0,83.95
IBM,2002-10-01,59.2,79.79,54.01,78.94,12847417.0,76.11
IBM,2002-09-03,74.2,77.5,57.99,58.31,9934225.0,56.22
IBM,2002-08-01,70.4,82.85,65.85,75.38,7787490.0,72.67
IBM,2002-07-01,72.01,74.2,65.7,70.4,11771613.0,67.72
IBM,2002-06-03,80.75,80.95,66.1,72.0,10096315.0,69.26
IBM,2002-05-01,83.85,86.49,75.92,80.45,8084754.0,77.39
IBM,2002-04-01,104.0,104.0,83.34,83.76,11608509.0,80.42
IBM,2002-03-01,98.6,108.85,98.5,104.0,7830800.0,99.85
IBM,2002-02-01,107.64,109.3,95.76,98.12,9487368.0,94.2
IBM,2002-01-02,120.6,126.39,101.0,107.89,9687614.0,103.45
IBM,2001-12-03,114.8,124.7,113.21,120.96,6845325.0,115.98
IBM,2001-11-01,107.25,117.0,106.9,115.59,6701623.0,110.83
IBM,2001-10-01,91.72,112.1,91.34,108.07,10066486.0,103.49
IBM,2001-09-04,100.15,103.13,87.49,91.72,13359313.0,87.83
IBM,2001-08-01,105.35,110.09,98.86,99.95,6588178.0,95.71
IBM,2001-07-02,113.5,115.4,101.56,105.21,7934257.0,100.62
IBM,2001-06-01,112.5,119.0,111.1,113.5,7257480.0,108.55
IBM,2001-05-01,115.85,119.9,110.96,111.8,7549104.0,106.92
IBM,2001-04-02,97.45,118.05,90.05,115.14,11678405.0,109.98
IBM,2001-03-01,99.3,108.4,87.65,96.18,12000513.0,91.87
IBM,2001-02-01,112.4,118.64,99.1,99.9,8861689.0,95.43
IBM,2001-01-02,84.5,116.75,83.75,112.0,9872776.0,106.86
IBM,2000-12-01,94.44,104.75,80.06,85.0,8739385.0,81.1
IBM,2000-11-01,98.44,104.37,91.62,93.5,6720342.0,89.21
IBM,2000-10-02,112.62,119.62,86.94,98.5,10658263.0,93.86
IBM,2000-09-01,133.06,134.94,110.25,112.62,5855495.0,107.32
IBM,2000-08-01,112.0,134.25,110.25,132.02,5545682.0,125.8
IBM,2000-07-03,108.75,117.81,100.0,112.25,7764845.0,106.84
IBM,2000-06-01,107.56,122.31,105.5,109.56,6586172.0,104.28
IBM,2000-05-01,112.5,113.62,102.0,107.31,5800554.0,102.14
