MSGID,MNEMONIC,LINENO,LEVEL,TEXT,PBUTTONS
1004.0,IN_UNDER_DEVELOP,1.0,W,Under Development: %$,SASHELP.FSP.OK.SLIST
1005.0,IN_EMPTY_MSG,1.0,N,%$,SASHELP.FSP.OK.SLIST
1029.0,IO_SELECT_DATASET,1.0,E,Please select a data set.,SASHELP.FSP.OK.SLIST
1030.0,IN_SAS_PRODUCT_NOT_AVAILABLE,1.0,E,This application requires %$ software which is not available at your site.,SASHELP.FSP.OK.SLIST
1030.0,IN_SAS_PRODUCT_NOT_AVAILABLE,2.0,E,Please contact the SAS representative at your site.,SASHELP.FSP.OK.SLIST
1032.0,IN_MAKE_SAMPLE_DATASETS,1.0,Q,"Several sample data sets are available. If created,",SASHELP.FSP.YN.SLIST
1032.0,IN_MAKE_SAMPLE_DATASETS,2.0,Q,the data sets will be put in the SASUSER library.,SASHELP.FSP.YN.SLIST
1032.0,IN_MAKE_SAMPLE_DATASETS,3.0,Q,%n%nSelect [Yes] to create the sample data sets or [No] to not create them.,SASHELP.FSP.YN.SLIST
1033.0,IN_EXPERIMENTAL_RELEASE,1.0,W,The Market Research application is expected to undergo further development.,SASHELP.FSP.OK.SLIST
1033.0,IN_EXPERIMENTAL_RELEASE,2.0,W,%n%nYour comments and suggestions are welcome. Please direct them to Technical Support at SAS Institute.,SASHELP.FSP.OK.SLIST
1034.0,IN_SAS_PROCS_NOT_INSTALLED,1.0,E,The following %1$ procedures must be installed: %2$.,SASHELP.FSP.OK.SLIST
1048.0,IO_LAST_RETRIEVED,1.0,N,The last used analysis has been retrieved.,SASHELP.FSP.OK.SLIST
1049.0,IO_SELECT_ANALYSIS,1.0,E,Please select an analysis.,SASHELP.FSP.OK.SLIST
1050.0,IO_SELECT_LIBREF_DATASET,1.0,E,Please select a libref and data set.,SASHELP.FSP.OK.SLIST
1051.0,IN_MDS_REQUIRES,1.0,W,MDS requires distance or similarity data.,SASHELP.FSP.OK.SLIST
1052.0,IN_CLUSTER_REQUIRES,1.0,W,Cluster analysis requires distance or coordinate data.,SASHELP.FSP.OK.SLIST
1052.0,IN_CLUSTER_REQUIRES,2.0,W,"If your data set contains distance data, it must have a data set type of DISTANCE.",SASHELP.FSP.OK.SLIST
1055.0,IO_NO_PASSWORD,1.0,E,The password is not valid for this data set. Please choose another.,SASHELP.FSP.OK.SLIST
1056.0,IO_ASSIGN_LIBREF,1.0,E,"Please assign the libref ""%$"".",SASHELP.FSP.OK.SLIST
1058.0,IO_DATASET_NOT_IN_LIBREF,1.0,E,"The data set ""%1$"" does not exist in the %2$ library.",SASHELP.FSP.OK.SLIST
1081.0,IO_ANALYSIS_CANCELED,1.0,N,The previously selected analysis was canceled.,SASHELP.FSP.OK.SLIST
1091.0,IO_DATASETS_IN_LIBRARY,1.0,N,Sample data sets have been put in SASUSER library.,SASHELP.FSP.OK.SLIST
1212.0,IN_SIM_REQUIRES_MORE,1.0,N,Market share simulation requires more than one preference variable.,SASHELP.FSP.OK.SLIST
1215.0,IO_SELECT_PREF_VARS,1.0,W,Please select preference variables first.,SASHELP.FSP.OK.SLIST
1217.0,IO_SELECT_ATTRIBUTE_VARS,1.0,W,Please select attribute variables first.,SASHELP.FSP.OK.SLIST
1220.0,IO_ANALYZE_DATA_FIRST,1.0,N,"Please analyze the data set first. To do so, press Variables and then press OK.",SASHELP.FSP.OK.SLIST
1221.0,IO_VARS_REMOVED_FROM_LISTS,1.0,N,Variables that are no longer in the data set have,SASHELP.FSP.OK.SLIST
1221.0,IO_VARS_REMOVED_FROM_LISTS,2.0,N,"been removed from the Preferences, Attributes, Id,",SASHELP.FSP.OK.SLIST
1221.0,IO_VARS_REMOVED_FROM_LISTS,3.0,N,"Frequency, and Weight lists.",SASHELP.FSP.OK.SLIST
1222.0,IN_GRAPHIC_TITLES_NA,1.0,N,"""Graphic titles"" are not yet available.",SASHELP.FSP.OK.SLIST
1239.0,IN_CHAR_VAR_SCORING,1.0,N,Character variables can only use the Qualitative measurement type.,SASHELP.FSP.OK.SLIST
1240.0,IN_PREFS_NOT_CHAR_VARS,1.0,N,Preferences cannot be character variables.,SASHELP.FSP.OK.SLIST
1241.0,IO_SELECT_VARS,1.0,N,Please select some variables.,SASHELP.FSP.OK.SLIST
1242.0,IO_VAR_USED,1.0,E,The selected variable has already been used.,SASHELP.FSP.OK.SLIST
1243.0,IN_WGHT_NOT_CHAR,1.0,E,The weight variable cannot be a character variable.,SASHELP.FSP.OK.SLIST
1244.0,IN_SELECT_TO_REMOVE,1.0,N,Select some variables then press Remove.,SASHELP.FSP.OK.SLIST
1245.0,IO_SELECT_PREFS,1.0,N,Please select some preferences.,SASHELP.FSP.OK.SLIST
1246.0,IO_SELECT_ATTRIBS,1.0,N,Please select some attributes.,SASHELP.FSP.OK.SLIST
1247.0,IO_A_VAR_USED,1.0,E,A selected variable has already been used.,SASHELP.FSP.OK.SLIST
1248.0,IN_FREQ_NOT_CHAR,1.0,E,The frequency variable cannot be a character variable.,SASHELP.FSP.OK.SLIST
1249.0,IO_NO_PLOT_4_1_DIM,1.0,N,No plot is available for an analysis with only one dimension.,SASHELP.FSP.OK.SLIST
1250.0,IO_SELECT_COL_VAR,1.0,E,Please select column variables.,SASHELP.FSP.OK.SLIST
1251.0,IN_ANALYZE_TABLE_FIRST,1.0,N,Please analyze the table first: press Variables,SASHELP.FSP.OK.SLIST
