T,S0502,S0666
1.0,425.0,1.79999923706054
2.0,425.0,1.51999950408935
3.0,421.0,1.50999927520751
4.0,322.0,1.79999923706054
5.0,414.0,1.84999942779541
6.0,359.0,1.88999938964843
7.0,416.0,2.04999923706054
8.0,448.0,1.9099998474121
9.0,416.0,1.97999954223632
10.0,422.0,1.80999946594238
11.0,427.0,1.92999935150146
12.0,412.0,1.80999946594238
13.0,416.0,1.97999954223632
14.0,448.0,1.72999954223632
15.0,405.0,1.61999988555908
16.0,411.0,1.1899995803833
17.0,437.0,1.64999961853027
18.0,389.0,1.6599998474121
19.0,335.0,1.71999931335449
20.0,398.0,1.70999908447265
21.0,433.0,1.78999996185302
22.0,442.0,1.53999996185302
23.0,326.0,1.67999935150146
24.0,343.0,1.66999912261962
25.0,352.0,1.81999969482421
26.0,344.0,1.29999923706054
27.0,294.0,1.47999954223632
28.0,406.0,1.69999980926513
29.0,361.0,1.84999942779541
30.0,289.0,2.0
31.0,295.0,2.07999992370605
32.0,383.0,1.81999969482421
33.0,339.0,1.75999927520751
34.0,381.0,1.69999980926513
35.0,367.0,1.82999992370605
36.0,349.0,1.89999961853027
37.0,377.0,1.92999935150146
38.0,371.0,1.57999992370605
39.0,408.0,1.54999923706054
40.0,439.0,1.83999919891357
41.0,389.0,1.6899995803833
42.0,428.0,1.85999965667724
43.0,326.0,1.91999912261962
44.0,431.0,1.83999919891357
45.0,401.0,1.92999935150146
46.0,356.0,1.56999969482421
47.0,371.0,1.76999950408935
48.0,344.0,1.75999927520751
49.0,386.0,1.78999996185302
50.0,391.0,1.60999965667724
51.0,397.0,1.73999977111816
52.0,379.0,1.51999950408935
53.0,466.0,1.83999919891357
54.0,380.0,1.95999908447265
55.0,342.0,
56.0,405.0,
57.0,389.0,
58.0,364.0,
59.0,361.0,
60.0,396.0,
61.0,478.0,
62.0,348.0,
63.0,458.0,
64.0,532.0,
65.0,581.0,
66.0,610.0,
67.0,610.0,
68.0,612.0,
69.0,724.0,
70.0,798.0,
71.0,698.0,
72.0,764.0,
73.0,708.0,
74.0,624.0,
75.0,736.0,
76.0,652.0,
77.0,724.0,
78.0,678.0,
79.0,755.0,
80.0,846.0,
81.0,872.0,
82.0,932.0,
83.0,785.0,
84.0,754.0,
85.0,855.0,
86.0,636.0,
87.0,867.0,
88.0,991.0,
89.0,726.0,
90.0,841.0,
91.0,1006.0,
92.0,705.0,
93.0,914.0,
94.0,1133.0,
95.0,852.0,
96.0,812.0,
97.0,1046.0,
98.0,783.0,
99.0,842.0,
100.0,839.0,
101.0,1080.0,
102.0,979.0,
103.0,939.0,
104.0,699.0,
105.0,912.0,
