year,vsp,pdi,puk,exuk,pop,cpisp,exsp
1966-01-01,1.2823,201207.0,0.13425,0.485709,54.643,0.096155,0.435193
1967-01-01,1.2718,204171.0,0.137742,0.5632,54.959,0.10231,0.505549
1968-01-01,1.537,207772.0,0.144298,0.568364,55.216,0.107425,0.506419
1969-01-01,1.9501,209684.0,0.152272,0.564515,55.461,0.109823,0.50816
1970-01-01,1.83,217675.0,0.16125,0.566155,55.632,0.11358,0.505694
1971-01-01,2.6126,220344.0,0.175189,0.576441,55.928,0.122852,0.51991
1972-01-01,3.1535,238744.0,0.186568,0.626625,56.079,0.133083,0.500617
1973-01-01,3.0601,254329.0,0.202143,0.703709,56.223,0.14819,0.498295
1974-01-01,2.5966,252360.0,0.23636,0.706515,56.236,0.17049,0.498295
1975-01-01,2.8815,253814.0,0.292056,0.784033,56.226,0.200623,0.50758
1976-01-01,2.1514,253012.0,0.337778,0.924894,56.216,0.235952,0.57547
1977-01-01,2.544,247695.0,0.387586,0.863692,56.19,0.293742,0.712845
1978-01-01,2.8602,265925.0,0.424315,0.867812,56.178,0.35193,0.662508
1979-01-01,2.8615,281084.0,0.482226,0.802721,56.24,0.407082,0.632045
1980-01-01,2.9249,285411.0,0.560568,0.724715,56.33,0.470626,0.733154
1981-01-01,3.582,283176.0,0.623576,0.826736,56.352,0.539365,0.822732
1982-01-01,4.4511,281722.0,0.677889,0.925951,56.318,0.538406,1.004932
1983-01-01,5.4049,289204.0,0.710628,0.978113,56.377,0.604108,1.189962
1984-01-01,6.1042,299756.0,0.712308,1.14864,56.506,0.672368,1.232828
1985-01-01,5.4272,309821.0,0.785876,1.030533,56.685,0.731596,1.228113
1986-01-01,6.3056,323622.0,0.817104,1.124233,56.852,0.79594,1.174585
1987-01-01,6.4,334702.0,0.852381,1.027294,57.009,0.837343,1.121564
1988-01-01,6.72,354627.0,0.89497,1.00786,57.158,0.877548,1.107348
1989-01-01,5.88,371676.0,0.947763,1.109298,57.358,0.937175,1.04584
1990-01-01,4.637,378325.0,1.0,1.0,57.561,1.0,1.0
1991-01-01,4.4283,377969.0,1.073715,1.036266,57.808,1.058988,1.003191
1992-01-01,4.648,386804.0,1.124222,1.232419,58.006,1.121493,1.143178
1993-01-01,5.8668,393125.0,1.163626,1.256732,58.191,1.173048,1.416842
1994-01-01,7.2167,396181.0,1.192823,1.266178,58.395,1.228119,1.394937
