Term,Role
aaah,Conj
acep,Conj
alan,Pron
allak,Conj
altmış,Num
altı,Num
altıyüz,Num
arasında,Prep
arkada,Prep
aşkolsun,Conj
bari,Conj
baştaki,Pron
başına,Prep
behemehal,Conj
belirten,Pron
ben,Pron
bendeki,Pron
benimki,Pron
benimkini,Pron
beş,Num
beşyüz,Num
bilakis,Conj
bin,Num
bir,Pron
birazını,Pron
birindeki,Pron
birisi,Pron
birisin,Pron
bitişiğinde,Prep
biz,Pron
bizdeki,Pron
bizimki,Pron
bizimkiler,Pron
bizimkilere,Pron
bizimkilerin,Pron
bişeyler,Pron
bom,Conj
boşver,Conj
bre,Conj
bu,Pron
budur,Pron
bunda,Pron
bundan,Pron
bunlar,Pron
bunlara,Pron
bunlarda,Pron
bunlardan,Pron
bunlarla,Pron
bunları,Pron
bunların,Pron
bunu,Pron
bunun,Pron
buyrun,Conj
bütünü,Pron
bütünün,Pron
bütününü,Pron
da,Prep
dair,Conj
dan,Conj
de,Prep
dek,Conj
deki,Conj
den,Conj
değil,Noun
değildik,Pron
dikkatinize,Conj
dir,Conj
diğeri,Pron
diğerinde,Pron
diğerinden,Pron
diğerini,Pron
diğerinin,Pron
diğerleri,Pron
diğerlerinden,Pron
diğerlerine,Pron
diğerlerini,Pron
diğerlerinin,Pron
diğerleriyle,Pron
doksan,Num
dokuz,Num
dokuzyüz,Num
dolayı,Prep
dörde,Num
dördü,Num
dört,Num
dörtlü,Num
dörtyüz,Num
dışında,Prep
eee,Conj
eksi,Prep
elli,Num
elveda,Conj
epey,Conj
etmek,Verb
etrafında,Prep
etrafını,Prep
ettiği,Pron
evvel,Conj
eğer,Conj
fakat,Conj
galiba,Conj
geçen,Pron
gibi,Prep
göre,Prep
güm,Conj
güya,Conj
hakkında,Prep
halindeki,Conj
hariç,Prep
hattâ,Conj
hay,Conj
hayli,Conj
hayret,Conj
he,Conj
hem,Conj
hepimizden,Pron
hepimize,Pron
hepimizi,Pron
hepimizin,Pron
hepiniz,Pron
hepinize,Pron
hepinizi,Pron
hepinizin,Pron
hepsi,Pron
hepsinde,Pron
hepsinden,Pron
hepsine,Pron
hepsini,Pron
hepsinin,Pron
hepsiyle,Pron
her,Pron
herbiri,Pron
herbirinin,Pron
herkesi,Pron
herkesin,Pron
herkeste,Pron
herkesten,Pron
herkesçe,Pron
herşey,Pron
herşeye,Pron
herşeyi,Pron
herşeyin,Pron
hey,Conj
hitaben,Conj
hiç,Pron
hiçbir,Pron
hiçbiri,Pron
hiçbirimiz,Pron
hiçbirinde,Pron
hiçbirine,Pron
hiçbirini,Pron
hiçbirinin,Pron
hiçbirisi,Pron
hop,Conj
hâlde,Conj
hâlinde,Conj
hâlâ,Conj
icabında,Conj
iken,Conj
iki,Num
ikincisi,Noun
ikiyüz,Num
ile,Prep
imdat,Conj
inceden,Conj
iseler,Conj
isen,Conj
itibarla,Conj
içeri,Prep
için,Prep
içinde,Prep
içindekileri,Pron
içinden,Prep
içindir,Conj
içine,Prep
kadar,Conj
kadarki,Conj
kah,Conj
karşılarındaki,Pron
karşın,Prep
karşındaki,Pron
karşısında,Prep
karşıya,Prep
kaç,Pron
kendi,Pron
kendileri,Pron
kendilerinde,Pron
kendilerinden,Pron
kendilerine,Pron
kendilerini,Pron
kendilerinin,Pron
kendileriyle,Pron
kendiliklerinden,Pron
kendim,Pron
kendimde,Pron
kendimden,Pron
kendime,Pron
kendimi,Pron
kendimin,Pron
kendimiz,Pron
kendimizde,Pron
kendimizden,Pron
kendimize,Pron
kendimizi,Pron
kendimizin,Pron
kendin,Pron
kendinde,Pron
kendinden,Pron
kendine,Pron
kendini,Pron
kendinin,Pron
kendiniz,Pron
