locale,key,lineno,text
en,ABORTED_NOTE,1.0,%3zStopping %#1s due to errors.
en,ACCEPTED_VALUES_ERROR,1.0,%1zAccepted values are: %#1s
en,ARCHIVE_DELETED_NOTE,1.0,%3zArchive %#1s deleted.
en,ARCHIVE_NOT_DELETED_ERROR,1.0,%1zArchive %#1s not deleted.
en,AUTOMATIC_MIDTIER_NAME_NOTE,1.0,%3zAssuming default middle-tier name based on login type: %#1s
en,COMBINATION_EVENT_ERROR,1.0,%1zA combination event cannot contain another combination event.
en,CONFLICTING_ARGUMENTS_ERROR,1.0,%3zArguments %#1s and %#2s are in conflict.
en,DATASET_VAR_ERROR,1.0,%1zData set %#2s (from argument %#1s=) does not exist.
en,DEPRECATED_MACRO_WARNING,1.0,%2zMacro %#1s has been deprecated.
en,DEPRECATION_WARNING,1.0,%2zThe parameter %#1s= is deprecated. The specified value has no effect.
en,EMPTY_ARG_ERROR,1.0,%1zRequired argument %#1s= has no value.
en,EMPTY_DATASET_ERROR,1.0,%1zData set %#1s contains no observations.
en,EMPTY_DATASET_WARNING,1.0,%2zData set %#1s contains no observations.
en,ENVIRONMENT_CREATED_NOTE,1.0,%3zEnvironment %#1s created.
en,ENVIRONMENT_DELETED_NOTE,1.0,%3zEnvironment %#1s deleted.
en,ENVIRONMENT_PATH_EXISTS_ERROR,1.0,%1zPath %#1s is already assigned to environment %#2s.
en,ENVIRONMENT_PATH_USED_ERROR,1.0,%1zPath %#1s on the specified host has already been registered as an environment.
en,ENVIRONMENT_REGISTERED_NOTE,1.0,%3zEnvironment %#1s registered.
en,ENVIRONMENT_UNREGISTERED_NOTE,1.0,%3zEnvironment %#1s unregistered.
en,EVENTS_DELETED_NOTE,1.0,%3zEvents deleted from project %#2s: %#1s
en,EVENT_CREATED_NOTE,1.0,%3zEvent %#1s created in project %#2s.
en,EVENT_EXISTS_ERROR,1.0,%1zEvent %#1s already exists.
en,EVENT_REQUIRED_CHANGED_NOTE,1.0,%3zThe 'required' setting for event %#1s in project %#2s is now %#3s.
en,EXCEPTION_CAUGHT_ERROR,1.0,%1zException caught in %#1s.
en,INACCESSIBLE_DATASET_ERROR,1.0,%1zUnable to open data set %#1s.
en,INVALID_PATH_ERROR,1.0,%1zInvalid file system path: %#1s
en,INVALID_SAS_NAME_ERROR,1.0,%3zThe value '%#1s' is not a valid SAS name.
en,INVALID_VAR_ERROR,1.0,%1zArgument %#1s= has an invalid value.
en,INVOKING_NOTE,1.0,%3zInvoking macro %#1s
en,LEGACY_MSG1_ERROR,1.0,"%1zThe user, password, host, and sasEnvironment arguments on individual calls are deprecated."
en,LEGACY_MSG2_ERROR,1.0,"%1zUse the fslogin and fslogout macros to manage sessions, and the midtier= argument (if necessary) to identify the target session on each call."
en,LIST_LENGTH_MISMATCH_ERROR,1.0,%1zList lengths cannot differ: '%#1s' and '%#2s'
en,LIST_VAR_ERROR,1.0,%1zArgument %#1s= can have only one value.
en,LOOKUP_FAILED_WARNING,1.0,%2zNo stored value found for %#1s (identifier: %#2s\%#3s)
en,MIDTIER_RESOLVE_MSG1_ERROR,1.0,"%1zCannot resolve midtier automatically. Global variable ""fslastm"" has no value."
en,MIDTIER_RESOLVE_MSG2_ERROR,1.0,%1zThe session has either not been created or has already been closed.
en,MISSING_COLUMNS_ERROR,1.0,%1zData set %#1s does not contain required column '%#2s'.
en,MISSING_EVENTS_ERROR,1.0,%1zOne or more of the specified events does not exist.
en,MISSING_PATHS_ERROR,1.0,%1zPaths for both the source and destination environment must be provided when performing actions that span servers.
en,MISSING_VAR_ERROR,1.0,%1zMacro variable %#1s= does not exist.
en,NO_ACTION_TAKEN_ERROR,1.0,%1zNo action was taken.
en,NO_ENVIRONMENT_ERROR,1.0,%1zEnvironment %#1s does not exist.
en,NO_PROJECT_ERROR,1.0,%1zProject %#1s does not exist.
en,NO_PROJECT_VARS_NOTE,1.0,%3zNo project variables have been loaded.
en,NO_PROJECT_WARN,1.0,%2zProject %#1s does not exist.
en,NO_SESSION_ERROR,1.0,%1zSession does not exist.
en,PROJECT_COPIED_NOTE,1.0,%3zProject %#2s (%#1s) copied to %#4s (%#3s).
en,PROJECT_CREATED_NOTE,1.0,%3zProject %#1s created.
en,PROJECT_DELETED_NOTE,1.0,%3zProject %#1s deleted.
en,PROJECT_EXISTS_ERROR,1.0,%1zProject %#1s already exists.
en,PROJECT_EXPORTED_NOTE,1.0,%3zProject %#1s exported to archive file %#2s.
en,PROJECT_EXPORT_WARNING,1.0,%2zExport of project %#1s to archive file %#2s failed.
en,PROJECT_IMPORTED_NOTE,1.0,%3zProject %#1s imported from archive file %#2s.
en,PROJECT_IMPORT_WARNING,1.0,%2zImport of project %#1s from archive file %#2s failed.
en,PROJECT_INPUT_CHANGED_NOTE,1.0,%3zProject %#1s input data set changed to %#2s.
en,PROJECT_LOADED_NOTE,1.0,%3zProject %#1s macro variables loaded.
en,PROJECT_MIGRATED_NOTE,1.0,%3zProject %#1s migrated.
en,PROJECT_MIGRATION_WARNING,1.0,%2zMigration of project %#1s failed.
en,PROJECT_MOVED_NOTE,1.0,%3zProject %#2s (%#1s) moved to %#4s (%#3s).
en,PROJECT_OWNER_CHANGED_NOTE,1.0,%3zProject %#1s is now owned by %#2s.
en,PROJECT_REGISTERED_NOTE,1.0,%3zProject %#1s registered.
en,PROJECT_RENAMED_NOTE,1.0,%3zProject %#1s renamed to %#2s.
en,PROJECT_RUN_NOTE,1.0,"%3zProject %#1s run (method=%#2s, importdata=%#3s)."
en,PROJECT_SETTINGS_EXPORTED_NOTE,1.0,%3zSettings from project %#1s exported to file %#2s.
en,PROJECT_SHARING_CHANGED_NOTE,1.0,%3zProject %#1s sharing is now set to %#2s.
en,PROJECT_UNREGISTERED_NOTE,1.0,%3zProject %#1s unregistered.
en,PROJECT_UPDATED_NOTE,1.0,%3zProject %#1s updated.
en,PROJECT_VARS_CLEARED_NOTE,1.0,%3zProject variables have been cleared.
en,REMOTE_ONLY_PATH_ERROR,1.0,%1zA corresponding local path must be specified when providing a remote path.
en,REPORT_SUCCEEDED_NOTE,1.0,%3zReport execution succeeded. See %#1s for output.
en,RESOLVED_VAR_NOTE,1.0,%3zResolved %#1s=%#2s
en,RETURN_CODE_ERROR,1.0,%1zAction failed. Error code %#1s.
en,SESSION_CLOSED_NOTE,1.0,%3zActive session on middle tier %#1s closed successfully.
en,SESSION_NOT_CLOSED_ERROR,1.0,"%1zAttempt to close the active session on middle tier %#1s failed. If the session exists, then it has been dropped."
en,SESSION_NOT_OPENED_ERROR,1.0,"%1zAttempt to create session on middle tier %#1s failed. If a session was partially created, then it has been dropped."
en,SESSION_OPENED_LOCAL_NOTE,1.0,%3zSession created on embedded middle tier %#1s.
en,SESSION_OPENED_REMOTE_NOTE,1.0,%3zSession created on remote middle tier %#1s.
en,STOPPING_MACRO_NOTE,1.0,%3zStopping %#1s due to errors.
en,TEMP_ARCHIVE_WARNING,1.0,%2zFailed to delete temporary archive file %#1s.
en,TOO_MANY_DEP_VARS_ERROR,1.0,%1zCannot create hierarchy with more than 1 dependent variable.
en,UNREADABLE_DATASET_ERROR,1.0,%1zRead access to data set %#1s failed.
en,VERSION_NOTE,1.0,%3z[%#1s] Version %#2s
ja,ABORTED_NOTE,1.0,%3z\u30a8\u30e9\u30fc\u306e\u305f\u3081 %#1s \u3092\u505c\u6b62\u3057\u3066\u3044\u307e\u3059\u3002
ja,ACCEPTED_VALUES_ERROR,1.0,%1z\u53d7\u3051\u5165\u308c\u3089\u308c\u308b\u5024: %#1s
ja,ARCHIVE_DELETED_NOTE,1.0,%3z\u30a2\u30fc\u30ab\u30a4\u30d6 %#1s \u306f\u524a\u9664\u3055\u308c\u307e\u3057\u305f\u3002
ja,ARCHIVE_NOT_DELETED_ERROR,1.0,%1z\u30a2\u30fc\u30ab\u30a4\u30d6 %#1s \u306f\u524a\u9664\u3055\u308c\u307e\u305b\u3093\u3067\u3057\u305f\u3002
ja,AUTOMATIC_MIDTIER_NAME_NOTE,1.0,%3z\u30ed\u30b0\u30a4\u30f3\u306e\u7a2e\u985e\u306b\u57fa\u3065\u3044\u3066\u30c7\u30d5\u30a9\u30eb\u30c8\u306e middle-tier \u540d\u3092\u8a2d\u5b9a\u3057\u3066\u3044\u307e\u3059: %#1s
ja,COMBINATION_EVENT_ERROR,1.0,%1z\u7d44\u307f\u5408\u308f\u305b\u30a4\u30d9\u30f3\u30c8\u306b\u5225\u306e\u7d44\u307f\u5408\u308f\u305b\u30a4\u30d9\u30f3\u30c8\u3092\u542b\u3081\u3089\u308c\u307e\u305b\u3093\u3002
ja,CONFLICTING_ARGUMENTS_ERROR,1.0,%3z\u5f15\u6570 %#1s \u3068 %#2s \u304c\u77db\u76fe\u3057\u3066\u3044\u307e\u3059\u3002
ja,DATASET_VAR_ERROR,1.0,%1z\u30c7\u30fc\u30bf\u30bb\u30c3\u30c8 %#2s (\u5f15\u6570 %#1s=) \u306f\u5b58\u5728\u3057\u307e\u305b\u3093\u3002
ja,DEPRECATED_MACRO_WARNING,1.0,%2z\u30de\u30af\u30ed %#1s \u306f\u5ec3\u6b62\u3055\u308c\u307e\u3057\u305f\u3002
ja,DEPRECATION_WARNING,1.0,%2z\u30d1\u30e9\u30e1\u30fc\u30bf %#1s= \u306f\u5ec3\u6b62\u3055\u308c\u307e\u3057\u305f\u3002\u6307\u5b9a\u3055\u308c\u305f\u5024\u306f\u7121\u52b9\u3067\u3059\u3002
ja,EMPTY_ARG_ERROR,1.0,%1z\u5fc5\u9808\u5f15\u6570 %#1s= \u306b\u5024\u304c\u6307\u5b9a\u3055\u308c\u3066\u3044\u307e\u305b\u3093\u3002
ja,EMPTY_DATASET_ERROR,1.0,%1z\u30c7\u30fc\u30bf\u30bb\u30c3\u30c8 %#1s \u306b\u30aa\u30d6\u30b6\u30d9\u30fc\u30b7\u30e7\u30f3\u304c\u542b\u307e\u308c\u3066\u3044\u307e\u305b\u3093\u3002
ja,EMPTY_DATASET_WARNING,1.0,%2z\u30c7\u30fc\u30bf\u30bb\u30c3\u30c8 %#1s \u306b\u30aa\u30d6\u30b6\u30d9\u30fc\u30b7\u30e7\u30f3\u304c\u542b\u307e\u308c\u3066\u3044\u307e\u305b\u3093\u3002
ja,ENVIRONMENT_CREATED_NOTE,1.0,%3z\u74b0\u5883 %#1s \u304c\u4f5c\u6210\u3055\u308c\u307e\u3057\u305f\u3002
ja,ENVIRONMENT_DELETED_NOTE,1.0,%3z\u74b0\u5883 %#1s \u304c\u524a\u9664\u3055\u308c\u307e\u3057\u305f\u3002
ja,ENVIRONMENT_PATH_EXISTS_ERROR,1.0,%1z\u30d1\u30b9%#1s \u306f\u3059\u3067\u306b\u74b0\u5883 %#2s \u306b\u5272\u308a\u5f53\u3066\u3089\u308c\u3066\u3044\u307e\u3059\u3002
ja,ENVIRONMENT_PATH_USED_ERROR,1.0,%1z\u6307\u5b9a\u3057\u305f\u30db\u30b9\u30c8\u306e\u30d1\u30b9 %#1s \u306f\u3001\u3059\u3067\u306b\u74b0\u5883\u3068\u3057\u3066\u767b\u9332\u3055\u308c\u3066\u3044\u307e\u3059\u3002
ja,ENVIRONMENT_REGISTERED_NOTE,1.0,%3z\u74b0\u5883 %#1s \u304c\u767b\u9332\u3055\u308c\u307e\u3057\u305f\u3002
ja,ENVIRONMENT_UNREGISTERED_NOTE,1.0,%3z\u74b0\u5883 %#1s \u304c\u767b\u9332\u89e3\u9664\u3055\u308c\u307e\u3057\u305f\u3002
ja,EVENTS_DELETED_NOTE,1.0,%3z\u30a4\u30d9\u30f3\u30c8\u304c\u30d7\u30ed\u30b8\u30a7\u30af\u30c8 %#2s \u304b\u3089\u524a\u9664\u3055\u308c\u307e\u3057\u305f: %#1s
ja,EVENT_CREATED_NOTE,1.0,%3z\u30a4\u30d9\u30f3\u30c8 %#1s \u304c\u30d7\u30ed\u30b8\u30a7\u30af\u30c8 %#2s \u306b\u4f5c\u6210\u3055\u308c\u307e\u3057\u305f\u3002
ja,EVENT_EXISTS_ERROR,1.0,%1z\u30a4\u30d9\u30f3\u30c8 %#1s \u306f\u3059\u3067\u306b\u5b58\u5728\u3057\u307e\u3059\u3002
ja,EVENT_REQUIRED_CHANGED_NOTE,1.0,%3z\u30a4\u30d9\u30f3\u30c8 %#1s (\u30d7\u30ed\u30b8\u30a7\u30af\u30c8 %#2s) \u306e '\u5fc5\u9808' \u8a2d\u5b9a\u306f\u3001\u73fe\u5728 %#3s \u3068\u306a\u308a\u307e\u3057\u305f\u3002
ja,EXCEPTION_CAUGHT_ERROR,1.0,%1z%#1s \u306b\u4f8b\u5916\u304c\u767a\u751f\u3057\u307e\u3057\u305f\u3002
ja,INACCESSIBLE_DATASET_ERROR,1.0,%1z\u30c7\u30fc\u30bf\u30bb\u30c3\u30c8 %#1s \u3092\u958b\u3051\u307e\u305b\u3093\u3002
ja,INVALID_PATH_ERROR,1.0,%1z\u7121\u52b9\u306a\u30d5\u30a1\u30a4\u30eb\u30b7\u30b9\u30c6\u30e0\u30d1\u30b9: %#1s
ja,INVALID_SAS_NAME_ERROR,1.0,%3z\u5024 '%#1s' \u306f\u6709\u52b9\u306a SAS \u540d\u3067\u306f\u3042\u308a\u307e\u305b\u3093\u3002
ja,INVALID_VAR_ERROR,1.0,%1z\u5f15\u6570 %#1s= \u306b\u7121\u52b9\u306a\u5024\u304c\u6307\u5b9a\u3055\u308c\u3066\u3044\u307e\u3059\u3002
ja,INVOKING_NOTE,1.0,%3z\u30de\u30af\u30ed %#1s \u3092\u8d77\u52d5\u3057\u3066\u3044\u307e\u3059
ja,LEGACY_MSG1_ERROR,1.0,%1z\u500b\u3005\u306e\u547c\u3073\u51fa\u3057\u306e user\u3001password\u3001host\u3001sasEnvironment \u5f15\u6570\u306f\u5ec3\u6b62\u3055\u308c\u307e\u3057\u305f\u3002
ja,LEGACY_MSG2_ERROR,1.0,%1z\u30bb\u30c3\u30b7\u30e7\u30f3\u306e\u7ba1\u7406\u306b\u306f fslogin \u3068 fslogout \u30de\u30af\u30ed\u3092\u4f7f\u7528\u3057\u3001\u5404\u547c\u3073\u51fa\u3057\u306b\u30bf\u30fc\u30b2\u30c3\u30c8\u30bb\u30c3\u30b7\u30e7\u30f3\u306e\u6307\u5b9a\u304c\u5fc5\u8981\u306a\u5834\u5408\u306f midtier= \u5f15\u6570\u3092\u4f7f\u7528\u3057\u3066\u304f\u3060\u3055\u3044\u3002
ja,LIST_LENGTH_MISMATCH_ERROR,1.0,%1z\u30ea\u30b9\u30c8\u9577\u306f '%#1s' \u3068 '%#2s' \u3067\u540c\u4e00\u306b\u3057\u3066\u304f\u3060\u3055\u3044\u3002
