STATENAME,DENSITY_1910,DENSITY_1920,DENSITY_1930,DENSITY_1940,DENSITY_1950,DENSITY_1960,DENSITY_1970,DENSITY_1980,DENSITY_1990,DENSITY_2000,DENSITY_2010,RANK_1910,RANK_1920,RANK_1930,RANK_1940,RANK_1950,RANK_1960,RANK_1970,RANK_1980,RANK_1990,RANK_2000,RANK_2010,REPS_1910,REPS_1920,REPS_1930,REPS_1940,REPS_1950,REPS_1960,REPS_1970,REPS_1980,REPS_1990,REPS_2000,REPS_2010,PEOPLE_PER_REP_1910,PEOPLE_PER_REP_1920,PEOPLE_PER_REP_1930,PEOPLE_PER_REP_1940,PEOPLE_PER_REP_1950,PEOPLE_PER_REP_1960,PEOPLE_PER_REP_1970,PEOPLE_PER_REP_1980,PEOPLE_PER_REP_1990,PEOPLE_PER_REP_2000,PEOPLE_PER_REP_2010,SEAT_CHANGE_1910,SEAT_CHANGE_1920,SEAT_CHANGE_1930,SEAT_CHANGE_1940,SEAT_CHANGE_1950,SEAT_CHANGE_1960,SEAT_CHANGE_1970,SEAT_CHANGE_1980,SEAT_CHANGE_1990,SEAT_CHANGE_2000,SEAT_CHANGE_2010,POPULATION_1910,POPULATION_1920,POPULATION_1930,POPULATION_1940,POPULATION_1950,POPULATION_1960,POPULATION_1970,POPULATION_1980,POPULATION_1990,POPULATION_2000,POPULATION_2010,CHANGE_1910,CHANGE_1920,CHANGE_1930,CHANGE_1940,CHANGE_1950,CHANGE_1960,CHANGE_1970,CHANGE_1980,CHANGE_1990,CHANGE_2000,CHANGE_2010,STATE,STATECODE,DIVISION,REGION
Alabama,42.2,46.4,52.3,55.9,60.5,64.5,6.8,76.9,79.8,87.8,94.4,25.0,25.0,24.0,23.0,24.0,28.0,28.0,28.0,27.0,28.0,29.0,10.0,10.0,9.0,9.0,9.0,8.0,7.0,7.0,7.0,7.0,7.0,213809.0,0.0,294027.0,314773.0,340194.0,408343.0,496555.0,555723.0,580373.0,637304.0,686140.0,1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,2138093.0,2348174.0,2646248.0,2832961.0,3061743.0,3266740.0,3444165.0,3893888.0,4040587.0,4447100.0,4779736.0,16.9,9.8,12.7,7.1,8.1,6.7,5.4,13.1,3.8,10.1,7.5,1.0,AL,East South Central,South
Alaska,0.1,0.1,0.1,0.1,0.2,0.4,0.5,0.7,0.1,1.1,1.2,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,226167.0,304067.0,400481.0,551947.0,628933.0,721523.0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,64356.0,55036.0,59278.0,72524.0,128643.0,226167.0,300382.0,401851.0,550043.0,626932.0,710231.0,1.2,-14.5,7.7,22.3,77.4,75.8,32.8,33.8,36.9,14.0,13.3,2.0,AK,Pacific,West
Arizona,1.8,2.9,3.8,4.4,6.6,11.5,15.6,23.9,32.3,45.2,56.3,49.0,49.0,47.0,47.0,47.0,43.0,43.0,42.0,39.0,38.0,35.0,,,1.0,2.0,2.0,3.0,4.0,5.0,6.0,8.0,9.0,,,389375.0,249631.0,374794.0,434054.0,446905.0,543573.0,612998.0,642585.0,712522.0,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,204354.0,334162.0,435573.0,499261.0,749587.0,1302161.0,1770900.0,2718215.0,3665228.0,5130632.0,6392017.0,66.2,63.5,30.3,14.6,50.1,73.7,36.0,53.5,34.8,40.0,24.6,4.0,AZ,Mountain,West
Arkansas,30.3,33.7,35.6,37.5,36.7,34.3,3.7,43.9,45.2,51.4,5.6,30.0,31.0,32.0,32.0,34.0,36.0,37.0,37.0,37.0,36.0,36.0,7.0,7.0,7.0,7.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,224921.0,0.0,264921.0,278484.0,318252.0,446568.0,485576.0,571378.0,590560.0,669933.0,731557.0,0.0,0.0,0.0,0.0,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,1574449.0,1752204.0,1854482.0,1949387.0,1909511.0,1786272.0,1923295.0,2286435.0,2350725.0,2673400.0,2915918.0,20.0,11.3,5.8,5.1,-2.0,-6.5,7.7,18.9,2.8,13.7,9.1,5.0,AR,West South Central,South
California,15.3,2.2,36.4,44.3,6.8,100.9,128.1,151.9,19.1,217.4,239.1,38.0,35.0,31.0,30.0,22.0,15.0,15.0,16.0,14.0,14.0,13.0,11.0,11.0,20.0,23.0,30.0,38.0,43.0,45.0,52.0,53.0,53.0,216051.0,0.0,283412.0,300321.0,352874.0,413611.0,467415.0,525968.0,573832.0,640204.0,704566.0,3.0,0.0,9.0,3.0,7.0,8.0,5.0,2.0,7.0,1.0,0.0,2377549.0,3426861.0,5677251.0,6907387.0,10586223.0,15717204.0,19953134.0,23667902.0,29760021.0,33871648.0,37253956.0,60.1,44.1,65.7,21.7,53.3,48.5,27.0,18.6,25.7,13.8,10.0,6.0,CA,Pacific,West
Colorado,7.7,9.1,1.0,10.8,12.8,16.9,21.3,27.9,31.8,41.5,48.5,42.0,42.0,41.0,42.0,42.0,42.0,41.0,40.0,40.0,39.0,39.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,6.0,7.0,7.0,199643.0,0.0,258712.0,280824.0,331272.0,438487.0,445354.0,481472.0,551319.0,615983.0,720704.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,799024.0,939629.0,1035791.0,1123296.0,1325089.0,1753947.0,2207259.0,2889964.0,3294394.0,4301261.0,5029196.0,48.0,17.6,10.2,8.4,18.0,32.4,25.8,30.9,14.0,30.6,16.9,8.0,CO,Mountain,West
Connecticut,230.2,285.1,331.8,35.3,414.5,523.6,626.1,641.7,678.8,703.3,738.1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,222951.0,0.0,267816.0,284874.0,334547.0,422539.0,508449.0,517929.0,549278.0,681907.0,716326.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1114756.0,1380631.0,1606903.0,1709242.0,2007280.0,2535234.0,3031709.0,3107576.0,3287116.0,3405565.0,3574097.0,22.7,23.9,16.4,6.4,17.4,26.3,19.6,2.5,5.8,3.6,4.9,9.0,CT,New England,Northeast
Delaware,103.8,114.4,122.3,136.8,163.2,22.9,281.3,30.5,341.9,402.1,460.8,11.0,12.0,12.0,12.0,11.0,11.0,9.0,9.0,9.0,9.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,202322.0,0.0,238380.0,266505.0,318085.0,446292.0,551928.0,595225.0,668696.0,785068.0,900877.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202322.0,223003.0,238380.0,266505.0,318085.0,446292.0,548104.0,594338.0,666168.0,783600.0,897934.0,9.5,10.2,6.9,11.8,19.4,40.3,22.8,8.4,12.1,17.6,14.6,10.0,DE,South Atlantic,South
District of Columbia,5423.1,7167.6,7975.1,10861.7,13140.0,12513.9,12392.0,10456.2,9941.3,9370.6,9856.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331069.0,437571.0,486869.0,663091.0,802178.0,763956.0,756510.0,638333.0,606900.0,572059.0,601723.0,18.8,32.2,11.3,36.2,21.0,-4.8,-1.0,-15.6,-4.9,-5.7,5.2,11.0,DC,South Atlantic,South
Florida,1.4,18.1,27.4,35.4,51.7,92.3,126.6,181.8,241.3,29.8,350.6,40.0,38.0,35.0,33.0,29.0,19.0,16.0,13.0,12.0,10.0,10.0,4.0,4.0,5.0,6.0,8.0,12.0,15.0,19.0,23.0,25.0,27.0,188155.0,0.0,293638.0,316236.0,346413.0,412630.0,457047.0,512631.0,565364.0,641156.0,700029.0,1.0,0.0,1.0,1.0,2.0,4.0,3.0,4.0,4.0,2.0,2.0,752619.0,968470.0,1468211.0,1897414.0,2771305.0,4951560.0,6789443.0,9746324.0,12937926.0,15982378.0,18801310.0,42.4,28.7,51.6,29.2,46.1,78.7,37.1,43.6,32.7,23.5,17.6,12.0,FL,South Atlantic,South
