optname,opttype,offset,setting,optdesc,level,optstart,group
ABORT,char,0.0,,Specification of what to do when a severe error occurs.,Host,anytime,ERRORHANDLING
ACCESSIBLE,Boolean,,NOACCESSIBLE,Create accessible graphs,GRAPH,,
ACCESSIBLECHECK,Boolean,0.0,NOACCESSIBLECHECK,Detect and log ODS output that is not accessible.,Portable,anytime,ODSPRINT
ACCESSIBLEGRAPH,Boolean,0.0,NOACCESSIBLEGRAPH,Create accessible ODS graphics by default.,Portable,anytime,ODSPRINT
ACCESSIBLEPDF,Boolean,0.0,NOACCESSIBLEPDF,Create accessible PDF files by default.,Portable,anytime,ODSPRINT
ACCESSIBLETABLE,Boolean,0.0,NOACCESSIBLETABLE,"Create accessible tables for enabled procedures, by default.",Portable,anytime,ODSPRINT
ADMGDF,Boolean,,NOADMGDF,GDDM driver output an ADMGDF file,GRAPH,,
ALIGNSASIOFILES,Boolean,0.0,ALIGNSASIOFILES,Aligns SAS files on a page boundary for improved performance.,Host,startup,PERFORMANCE
ALTLOG,char,0.0,,Specifies the location for a copy of the SAS log when SAS is running in batch mode.,Host,startup,ENVFILES
ALTPRINT,char,0.0,,Specifies the location for a copy of the SAS procedure output when SAS is running in batch mode.,Host,startup,ENVFILES
ANIMATION,char,0.0,STOP,Specifies whether to start or stop animation.,Portable,anytime,ANIMATION
ANIMDURATION,char,0.0,MIN,Specifies the number of seconds that each animation frame displays.,Portable,anytime,ANIMATION
ANIMLOOP,char,0.0,YES,Specifies the number of iterations that animated images repeat.,Portable,anytime,ANIMATION
ANIMOVERLAY,Boolean,0.0,ANIMOVERLAY,Specifies that animation frames are overlaid in order to view all frames.,Portable,anytime,ANIMATION
APPEND,char,0.0,,Specifies an option=value pair to insert the value at the end of the existing option value.,Portable,anytime,ENVFILES
APPLETLOC,char,0.0,/pbr/sfw/sas/940/SASGraphJavaApplets/9.4,"Specifies the location of Java applets, which is typically a URL.",Portable,anytime,ENVFILES
ARMAGENT,char,0.0,,"Specifies an ARM agent (which is an executable module or keyword, such as LOG4SAS) that contains a specific implementation of the ARM API.",Portable,anytime,PERFORMANCE
ARMLOC,char,0.0,ARMLOG.LOG,Specifies the location of the ARM log.,Portable,anytime,PERFORMANCE
ARMSUBSYS,char,0.0,(ARM_PROC),Specifies the SAS ARM subsystems to enable or disable.,Portable,anytime,PERFORMANCE
ASPECT,num,,,Aspect ratio (width/height) for software characters,GRAPH,,
ASYNCHIO,Boolean,0.0,NOASYNCHIO,Enables asynchronous input and output.,Portable,startup,SASFILES
