libname,memname,memtype,name,type,length,npos,varnum,label,format,informat,idxusage,sortedby,xtype,notnull,precision,scale,transcode
WORK,__JUPYTERSASKERNEL__,DATA,OPTNAME,char,22.0,0.0,1.0,,,,,0.0,char,no,0.0,,yes
WORK,__JUPYTERSASKERNEL__,DATA,OPTVALUE,char,143.0,22.0,2.0,,,,,0.0,char,no,0.0,,yes
MAPS,AFGHANI2,DATA,_MAP_GEOMETRY_,char,29.0,8.0,1.0,Variable used by the Map Chart Client,$GEOREF.,,,0.0,char,no,0.0,,yes
MAPS,AFGHANI2,DATA,COUNTRY,num,4.0,0.0,2.0,World Geographic Code,,,,0.0,num,no,0.0,,yes
MAPS,AFGHANI2,DATA,ID,num,4.0,4.0,3.0,Id Number,,,,0.0,num,no,0.0,,yes
MAPS,AFGHANI2,DATA,IDNAME,char,35.0,37.0,4.0,Name of Internal Division,,,,0.0,char,no,0.0,,yes
MAPS,AFGHANIS,DATA,ID,num,5.0,0.0,1.0,Id Number,,,,0.0,num,no,0.0,,yes
MAPS,AFGHANIS,DATA,SEGMENT,num,5.0,5.0,2.0,Political Subdivision Segment Number,,,,0.0,num,no,0.0,,yes
MAPS,AFGHANIS,DATA,X,num,6.0,10.0,3.0,Projected Longitude,,,,0.0,num,no,0.0,,yes
MAPS,AFGHANIS,DATA,Y,num,6.0,16.0,4.0,Projected Latitude,,,,0.0,num,no,0.0,,yes
MAPS,AFGHANIS,DATA,LONG,num,6.0,22.0,5.0,Deprojected longitude,,,,0.0,num,no,0.0,,yes
MAPS,AFGHANIS,DATA,LAT,num,6.0,28.0,6.0,Deprojected latitude,,,,0.0,num,no,0.0,,yes
MAPS,AFRICA,DATA,CONT,num,5.0,32.0,1.0,Numeric Rep. for Continent,,,,0.0,num,no,0.0,,yes
MAPS,AFRICA,DATA,ID,num,5.0,37.0,2.0,GLC: Country ID Number,,,,1.0,num,no,0.0,,yes
MAPS,AFRICA,DATA,SEGMENT,num,5.0,42.0,3.0,Country Segment Number,,,,2.0,num,no,0.0,,yes
MAPS,AFRICA,DATA,DENSITY,num,5.0,47.0,4.0,Levels for Reducing,,,,0.0,num,no,0.0,,yes
MAPS,AFRICA,DATA,X,num,8.0,0.0,5.0,Projected Longitude: Albers,,,,0.0,num,no,0.0,,yes
MAPS,AFRICA,DATA,Y,num,8.0,8.0,6.0,Projected Latitude: Albers,,,,0.0,num,no,0.0,,yes
MAPS,AFRICA,DATA,LAT,num,8.0,16.0,7.0,Unprojected Latitude in Radians,,,,0.0,num,no,0.0,,yes
MAPS,AFRICA,DATA,LONG,num,8.0,24.0,8.0,Unprojected Longitude in Radians,,,,0.0,num,no,0.0,,yes
MAPS,AFRICA2,DATA,CONT,num,5.0,0.0,1.0,Numeric Rep. for Continent,,,,0.0,num,no,0.0,,yes
MAPS,AFRICA2,DATA,ID,num,5.0,5.0,2.0,GLC: Country ID Number,,,,1.0,num,no,0.0,,yes
MAPS,AFRICA2,DATA,ISO,num,5.0,10.0,3.0,ISO Country Number: 900+ Undefined,Z3.,,,0.0,num,no,0.0,,yes
MAPS,AFRICA2,DATA,IDNAME,char,45.0,30.0,4.0,GLC Country IDName,,,,0.0,char,no,0.0,,yes
MAPS,AFRICA2,DATA,ISONAME,char,45.0,75.0,5.0,ISO Name for Country,,,,0.0,char,no,0.0,,yes
MAPS,AFRICA2,DATA,START,num,5.0,15.0,6.0,First Point in AFRICA Dataset,,,,0.0,num,no,0.0,,yes
MAPS,AFRICA2,DATA,END,num,5.0,20.0,7.0,Last point in AFRICA Dataset,,,,0.0,num,no,0.0,,yes
MAPS,AFRICA2,DATA,POINTS,num,5.0,25.0,8.0,Number of Points in AFRICA Dataset,,,,0.0,num,no,0.0,,yes
MAPS,AFRICA2,DATA,CONT94_GEO,char,37.0,120.0,9.0,CONT94-Variable used by the Map Chart Client,$GEOREF.,,,0.0,char,no,0.0,,yes
MAPS,AFRICA2,DATA,NAME,char,45.0,157.0,10.0,GLC Country Name,,,,0.0,char,no,0.0,,yes
MAPS,ALGERIA,DATA,ID,num,5.0,0.0,1.0,Id Number,,,,0.0,num,no,0.0,,yes
MAPS,ALGERIA,DATA,SEGMENT,num,5.0,5.0,2.0,Political Subdivision Segment Number,,,,0.0,num,no,0.0,,yes
MAPS,ALGERIA,DATA,X,num,6.0,10.0,3.0,Projected Longitude,,,,0.0,num,no,0.0,,yes
MAPS,ALGERIA,DATA,Y,num,6.0,16.0,4.0,Projected Latitude,,,,0.0,num,no,0.0,,yes
MAPS,ALGERIA,DATA,LONG,num,6.0,22.0,5.0,Deprojected longitude,,,,0.0,num,no,0.0,,yes
MAPS,ALGERIA,DATA,LAT,num,6.0,28.0,6.0,Deprojected latitude,,,,0.0,num,no,0.0,,yes
