memname,memlabel,name,type,length,npos,varnum,label,format,informat
MEMBERS,"Tables, catalogs, and views",LIBNAME,char,8.0,0.0,1.0,Library Name,,
MEMBERS,"Tables, catalogs, and views",MEMNAME,char,32.0,8.0,2.0,Member Name,,
MEMBERS,"Tables, catalogs, and views",MEMTYPE,char,8.0,40.0,3.0,Member Type,,
MEMBERS,"Tables, catalogs, and views",DBMS_MEMTYPE,char,32.0,48.0,4.0,DBMS Member Type,,
MEMBERS,"Tables, catalogs, and views",ENGINE,char,8.0,80.0,5.0,Engine Name,,
MEMBERS,"Tables, catalogs, and views",INDEX,char,3.0,88.0,6.0,Indexes,,
MEMBERS,"Tables, catalogs, and views",PATH,char,1024.0,91.0,7.0,Pathname,,
TABLES,Tables and table-specific information,LIBNAME,char,8.0,0.0,1.0,Library Name,,
TABLES,Tables and table-specific information,MEMNAME,char,32.0,8.0,2.0,Member Name,,
TABLES,Tables and table-specific information,MEMTYPE,char,8.0,40.0,3.0,Member Type,,
TABLES,Tables and table-specific information,DBMS_MEMTYPE,char,32.0,48.0,4.0,DBMS Member Type,,
TABLES,Tables and table-specific information,MEMLABEL,char,256.0,80.0,5.0,Data Set Label,,
TABLES,Tables and table-specific information,TYPEMEM,char,8.0,336.0,6.0,Data Set Type,,
TABLES,Tables and table-specific information,CRDATE,num,8.0,344.0,7.0,Date Created,DATETIME,DATETIME
TABLES,Tables and table-specific information,MODATE,num,8.0,352.0,8.0,Date Modified,DATETIME,DATETIME
TABLES,Tables and table-specific information,NOBS,num,8.0,360.0,9.0,Number of Physical Observations,,
TABLES,Tables and table-specific information,OBSLEN,num,8.0,368.0,10.0,Observation Length,,
TABLES,Tables and table-specific information,NVAR,num,8.0,376.0,11.0,Number of Variables,,
TABLES,Tables and table-specific information,PROTECT,char,3.0,384.0,12.0,Type of Password Protection,,
TABLES,Tables and table-specific information,COMPRESS,char,8.0,387.0,13.0,Compression Routine,,
TABLES,Tables and table-specific information,ENCRYPT,char,8.0,395.0,14.0,Encryption,,
TABLES,Tables and table-specific information,NPAGE,num,8.0,403.0,15.0,Number of Pages,,
TABLES,Tables and table-specific information,FILESIZE,num,8.0,411.0,16.0,Size of File,,
TABLES,Tables and table-specific information,PCOMPRESS,num,8.0,419.0,17.0,Percent Compression,,
TABLES,Tables and table-specific information,REUSE,char,3.0,427.0,18.0,Reuse Space,,
TABLES,Tables and table-specific information,BUFSIZE,num,8.0,430.0,19.0,Bufsize,,
TABLES,Tables and table-specific information,DELOBS,num,8.0,438.0,20.0,Number of Deleted Observations,,
TABLES,Tables and table-specific information,NLOBS,num,8.0,446.0,21.0,Number of Logical Observations,,
TABLES,Tables and table-specific information,MAXVAR,num,8.0,454.0,22.0,Longest variable name,,
TABLES,Tables and table-specific information,MAXLABEL,num,8.0,462.0,23.0,Longest label,,
TABLES,Tables and table-specific information,MAXGEN,num,8.0,470.0,24.0,Maximum number of generations,,
TABLES,Tables and table-specific information,GEN,num,8.0,478.0,25.0,Generation number,,
TABLES,Tables and table-specific information,ATTR,char,3.0,486.0,26.0,Data Set Attributes,,
TABLES,Tables and table-specific information,INDXTYPE,char,9.0,489.0,27.0,Type of Indexes,,
TABLES,Tables and table-specific information,DATAREP,char,32.0,498.0,28.0,Data Representation,,
TABLES,Tables and table-specific information,SORTNAME,char,8.0,530.0,29.0,Name of Collating Sequence,,
TABLES,Tables and table-specific information,SORTTYPE,char,4.0,538.0,30.0,Sorting Type,,
TABLES,Tables and table-specific information,SORTCHAR,char,8.0,542.0,31.0,Charset Sorted By,,
TABLES,Tables and table-specific information,REQVECTOR,char,24.0,550.0,32.0,Requirements Vector,$HEX48,$HEX48
TABLES,Tables and table-specific information,DATAREPNAME,char,170.0,574.0,33.0,Data Representation Name,,
TABLES,Tables and table-specific information,ENCODING,char,256.0,744.0,34.0,Data Encoding,,
TABLES,Tables and table-specific information,AUDIT,char,3.0,1000.0,35.0,Audit Trail Active?,,
TABLES,Tables and table-specific information,AUDIT_BEFORE,char,3.0,1003.0,36.0,Audit Before Image?,,
TABLES,Tables and table-specific information,AUDIT_ADMIN,char,3.0,1006.0,37.0,Audit Admin Image?,,
TABLES,Tables and table-specific information,AUDIT_ERROR,char,3.0,1009.0,38.0,Audit Error Image?,,
TABLES,Tables and table-specific information,AUDIT_DATA,char,3.0,1012.0,39.0,Audit Data Image?,,
TABLES,Tables and table-specific information,NUM_CHARACTER,num,8.0,1015.0,40.0,Number of Character Variables,,
TABLES,Tables and table-specific information,NUM_NUMERIC,num,8.0,1023.0,41.0,Number of Numeric Variables,,
TABLES,Tables and table-specific information,DIAGNOSTIC,char,256.0,1031.0,42.0,Diagnostic Message from File Open Attempt,,
VIEWS,Views and view-specific information,LIBNAME,char,8.0,0.0,1.0,Library Name,,
VIEWS,Views and view-specific information,MEMNAME,char,32.0,8.0,2.0,Member Name,,
VIEWS,Views and view-specific information,MEMTYPE,char,8.0,40.0,3.0,Member Type,,
VIEWS,Views and view-specific information,ENGINE,char,8.0,48.0,4.0,Engine Name,,
CATALOGS,Catalogs and catalog-specific information,LIBNAME,char,8.0,0.0,1.0,Library Name,,
CATALOGS,Catalogs and catalog-specific information,MEMNAME,char,32.0,8.0,2.0,Member Name,,
CATALOGS,Catalogs and catalog-specific information,MEMTYPE,char,8.0,40.0,3.0,Member Type,,
CATALOGS,Catalogs and catalog-specific information,OBJNAME,char,32.0,48.0,4.0,Object Name,,
CATALOGS,Catalogs and catalog-specific information,OBJTYPE,char,8.0,80.0,5.0,Object Type,,
CATALOGS,Catalogs and catalog-specific information,OBJDESC,char,256.0,88.0,6.0,Object Description,,
CATALOGS,Catalogs and catalog-specific information,CREATED,num,8.0,344.0,7.0,Date Created,DATETIME,DATETIME
CATALOGS,Catalogs and catalog-specific information,MODIFIED,num,8.0,352.0,8.0,Date Modified,DATETIME,DATETIME
CATALOGS,Catalogs and catalog-specific information,ALIAS,char,32.0,360.0,9.0,Object Alias,,
CATALOGS,Catalogs and catalog-specific information,LEVEL,num,8.0,392.0,10.0,Library Concatenation Level,,
REMEMBER,Remembered information?,LIBNAME,char,8.0,0.0,1.0,Library Name,,
REMEMBER,Remembered information?,MEMNAME,char,32.0,8.0,2.0,Member Name,,
REMEMBER,Remembered information?,OFFSET,num,8.0,40.0,3.0,Offset into Text Remembered,,
REMEMBER,Remembered information?,RTEXT,char,200.0,48.0,4.0,Text Remembered,,
REMEMBER,Remembered information?,PW,char,8.0,248.0,5.0,Password,,
COLUMNS,Columns from every table,LIBNAME,char,8.0,0.0,1.0,Library Name,,
COLUMNS,Columns from every table,MEMNAME,char,32.0,8.0,2.0,Member Name,,
COLUMNS,Columns from every table,MEMTYPE,char,8.0,40.0,3.0,Member Type,,
COLUMNS,Columns from every table,NAME,char,32.0,48.0,4.0,Column Name,,
COLUMNS,Columns from every table,TYPE,char,4.0,80.0,5.0,Column Type,,
COLUMNS,Columns from every table,LENGTH,num,8.0,84.0,6.0,Column Length,,
COLUMNS,Columns from every table,NPOS,num,8.0,92.0,7.0,Column Position,,
COLUMNS,Columns from every table,VARNUM,num,8.0,100.0,8.0,Column Number in Table,,
COLUMNS,Columns from every table,LABEL,char,256.0,108.0,9.0,Column Label,,
COLUMNS,Columns from every table,FORMAT,char,49.0,364.0,10.0,Column Format,,
COLUMNS,Columns from every table,INFORMAT,char,49.0,413.0,11.0,Column Informat,,
COLUMNS,Columns from every table,IDXUSAGE,char,9.0,462.0,12.0,Column Index Type,,
COLUMNS,Columns from every table,SORTEDBY,num,8.0,471.0,13.0,Order in Key Sequence,,
COLUMNS,Columns from every table,XTYPE,char,12.0,479.0,14.0,Extended Type,,
COLUMNS,Columns from every table,NOTNULL,char,3.0,491.0,15.0,Not NULL?,,
COLUMNS,Columns from every table,PRECISION,num,8.0,494.0,16.0,Precision,,
COLUMNS,Columns from every table,SCALE,num,8.0,502.0,17.0,Scale,,
COLUMNS,Columns from every table,TRANSCODE,char,3.0,510.0,18.0,Transcoded?,,
COLUMNS,Columns from every table,DIAGNOSTIC,char,256.0,513.0,19.0,Diagnostic Message from File Open Attempt,,
EXTFILES,"Files defined in FILENAME statements, or implicitly",FILEREF,char,8.0,0.0,1.0,Fileref,,
EXTFILES,"Files defined in FILENAME statements, or implicitly",XPATH,char,1024.0,8.0,2.0,Pathname,,
EXTFILES,"Files defined in FILENAME statements, or implicitly",XENGINE,char,8.0,1032.0,3.0,Engine Name,,
EXTFILES,"Files defined in FILENAME statements, or implicitly",MODATE,num,8.0,1040.0,4.0,Date Modified,DATETIME,DATETIME
EXTFILES,"Files defined in FILENAME statements, or implicitly",FILESIZE,num,8.0,1048.0,5.0,Size of File,,
EXTFILES,"Files defined in FILENAME statements, or implicitly",LEVEL,num,8.0,1056.0,6.0,File Concatenation Level,,
EXTFILES,"Files defined in FILENAME statements, or implicitly",DIRECTORY,char,3.0,1064.0,7.0,Directory?,,
EXTFILES,"Files defined in FILENAME statements, or implicitly",EXISTS,char,3.0,1067.0,8.0,Exists?,,
EXTFILES,"Files defined in FILENAME statements, or implicitly",TEMPORARY,char,3.0,1070.0,9.0,Temporary?,,
INDEXES,Indexes,LIBNAME,char,8.0,0.0,1.0,Library Name,,
INDEXES,Indexes,MEMNAME,char,32.0,8.0,2.0,Member Name,,
INDEXES,Indexes,MEMTYPE,char,8.0,40.0,3.0,Member Type,,
INDEXES,Indexes,NAME,char,32.0,48.0,4.0,Column Name,,
INDEXES,Indexes,IDXUSAGE,char,9.0,80.0,5.0,Column Index Type,,
INDEXES,Indexes,INDXNAME,char,32.0,89.0,6.0,Index Name,,
INDEXES,Indexes,INDXPOS,num,8.0,121.0,7.0,Position of Column in Concatenated Key,,
INDEXES,Indexes,NOMISS,char,3.0,129.0,8.0,Nomiss Option,,
INDEXES,Indexes,UNIQUE,char,3.0,132.0,9.0,Unique Option,,
INDEXES,Indexes,DIAGNOSTIC,char,256.0,135.0,10.0,Diagnostic Message from File Open Attempt,,
OPTIONS,SAS options,OPTNAME,char,32.0,0.0,1.0,Option Name,,
OPTIONS,SAS options,OPTTYPE,char,8.0,32.0,2.0,Option type,,
OPTIONS,SAS options,OFFSET,num,8.0,40.0,3.0,Offset into option value,,
OPTIONS,SAS options,SETTING,char,1024.0,48.0,4.0,Option Setting,,
OPTIONS,SAS options,OPTDESC,char,160.0,1072.0,5.0,Option Description,,
OPTIONS,SAS options,LEVEL,char,8.0,1232.0,6.0,Option Location,,
OPTIONS,SAS options,OPTSTART,char,8.0,1240.0,7.0,Option Set,,
OPTIONS,SAS options,GROUP,char,32.0,1248.0,8.0,Option Group,,
TITLES,TITLE statements,TYPE,char,1.0,0.0,1.0,Title Location,,
TITLES,TITLE statements,NUMBER,num,8.0,1.0,2.0,Title Number,,
TITLES,TITLE statements,TEXT,char,256.0,9.0,3.0,Title Text,,
MACROS,Defined macros,SCOPE,char,32.0,0.0,1.0,Macro Scope,,
MACROS,Defined macros,NAME,char,32.0,32.0,2.0,Macro Variable Name,,
MACROS,Defined macros,OFFSET,num,8.0,64.0,3.0,Offset into Macro Variable,,
MACROS,Defined macros,VALUE,char,200.0,72.0,4.0,Macro Variable Value,,
STYLES,Styles?,LIBNAME,char,8.0,0.0,1.0,Library Name,,
STYLES,Styles?,MEMNAME,char,32.0,8.0,2.0,Member Name,,
STYLES,Styles?,STYLE,char,32.0,40.0,3.0,Style Name,,
STYLES,Styles?,CRDATE,num,8.0,72.0,4.0,Date Created,DATETIME,DATETIME
FORMATS,Available formats,LIBNAME,char,8.0,0.0,1.0,Library Name,,
FORMATS,Available formats,MEMNAME,char,32.0,8.0,2.0,Member Name,,
FORMATS,Available formats,PATH,char,1024.0,40.0,3.0,Pathname,,
FORMATS,Available formats,OBJNAME,char,32.0,1064.0,4.0,Object Name,,
FORMATS,Available formats,FMTNAME,char,32.0,1096.0,5.0,Format Name,,
FORMATS,Available formats,FMTTYPE,char,1.0,1128.0,6.0,Format Type,,
FORMATS,Available formats,SOURCE,char,1.0,1129.0,7.0,Format Source,,
FORMATS,Available formats,MINW,num,8.0,1130.0,8.0,Minimum Width,,
FORMATS,Available formats,MIND,num,8.0,1138.0,9.0,Minimum Decimal Width,,
FORMATS,Available formats,MAXW,num,8.0,1146.0,10.0,Maximum Width,,
FORMATS,Available formats,MAXD,num,8.0,1154.0,11.0,Maximum Decimal Width,,
FORMATS,Available formats,DEFW,num,8.0,1162.0,12.0,Default Width,,
FORMATS,Available formats,DEFD,num,8.0,1170.0,13.0,Default Decimal Width,,
TABLE_CONSTRAINTS,Table constraints,TABLE_CATALOG,char,8.0,0.0,1.0,Libname,,
TABLE_CONSTRAINTS,Table constraints,TABLE_SCHEMA,char,8.0,8.0,2.0,Table Schema,,
TABLE_CONSTRAINTS,Table constraints,TABLE_NAME,char,32.0,16.0,3.0,Table,,
TABLE_CONSTRAINTS,Table constraints,CONSTRAINT_CATALOG,char,32.0,48.0,4.0,Constraint Catalog,,
TABLE_CONSTRAINTS,Table constraints,CONSTRAINT_SCHEMA,char,8.0,80.0,5.0,Constraint Schema,,
TABLE_CONSTRAINTS,Table constraints,CONSTRAINT_NAME,char,32.0,88.0,6.0,Constraint Name,,
TABLE_CONSTRAINTS,Table constraints,CONSTRAINT_TYPE,char,8.0,120.0,7.0,Constraint Type,,
TABLE_CONSTRAINTS,Table constraints,IS_DEFERRABLE,char,1.0,128.0,8.0,Is Deferred?,,
TABLE_CONSTRAINTS,Table constraints,INITIALLY_DEFERRED,char,1.0,129.0,9.0,Initially Deferred?,,
TABLE_CONSTRAINTS,Table constraints,DIAGNOSTIC,char,256.0,130.0,10.0,Diagnostic Message from File Open Attempt,,
REFERENTIAL_CONSTRAINTS,Referential constraints,LIBNAME,char,8.0,0.0,1.0,Library Name,,
REFERENTIAL_CONSTRAINTS,Referential constraints,MEMNAME,char,32.0,8.0,2.0,Member Name,,
REFERENTIAL_CONSTRAINTS,Referential constraints,CONSTRAINT_CATALOG,char,32.0,40.0,3.0,Constraint Catalog,,
