libname,memname,path,objname,fmtname,fmttype,source,minw,mind,maxw,maxd,defw,defd
,,,,$,F,B,1.0,0.0,32767.0,0.0,1.0,0.0
,,,,$,I,B,1.0,0.0,32767.0,0.0,1.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIANYDT,$ANYDTIF,I,U,1.0,0.0,60.0,0.0,19.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFASCII,$ASCII,F,U,1.0,0.0,32767.0,0.0,1.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIASCII,$ASCII,I,U,1.0,0.0,32767.0,0.0,1.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFBASE6,$BASE64X,F,U,1.0,0.0,32767.0,0.0,1.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIBASE6,$BASE64X,I,U,1.0,0.0,32767.0,0.0,1.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFBIDI,$BIDI,F,U,1.0,0.0,32767.0,0.0,1.0,0.0
,,,,$BINARY,F,B,1.0,0.0,32767.0,0.0,8.0,0.0
,,,,$BINARY,I,B,1.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFBYVAL,$BYVAL,F,U,2.0,0.0,8.0,0.0,2.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIBYVAL,$BYVAL,I,U,2.0,0.0,8.0,0.0,2.0,0.0
,,,,$CB,I,B,1.0,0.0,32767.0,0.0,1.0,0.0
,,,,$CHAR,F,B,1.0,0.0,32767.0,0.0,8.0,0.0
,,,,$CHAR,I,B,1.0,0.0,32767.0,0.0,8.0,0.0
,,,,$CHARZB,I,B,1.0,0.0,32767.0,0.0,1.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFCPTDW,$CPTDW,F,U,1.0,0.0,32767.0,0.0,200.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWICPTDW,$CPTDW,I,U,1.0,0.0,32767.0,0.0,200.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFCPTWD,$CPTWD,F,U,1.0,0.0,32767.0,0.0,200.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWICPTWD,$CPTWD,I,U,1.0,0.0,32767.0,0.0,200.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFCSTR,$CSTR,F,U,1.0,0.0,32767.0,0.0,1.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWICSTR,$CSTR,I,U,1.0,0.0,200.0,0.0,1.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFEBCDI,$EBCDIC,F,U,1.0,0.0,32767.0,0.0,1.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIEBCDI,$EBCDIC,I,U,1.0,0.0,32767.0,0.0,1.0,0.0
,,,,$F,F,B,1.0,0.0,32767.0,0.0,8.0,0.0
,,,,$F,I,B,1.0,0.0,32767.0,0.0,8.0,0.0
,,,,$GEOREF,F,B,16.0,0.0,32767.0,0.0,60.0,0.0
,,,,$GEOREF,I,B,1.0,0.0,32767.0,0.0,8.0,0.0
,,,,$HEX,F,B,1.0,0.0,32767.0,0.0,2.0,0.0
,,,,$HEX,I,B,1.0,0.0,32767.0,0.0,2.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFKANA,$KANA,F,U,1.0,0.0,200.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIKANA,$KANA,I,U,2.0,0.0,200.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFKANJI,$KANJI,F,U,4.0,0.0,200.0,0.0,10.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIKANJI,$KANJI,I,U,2.0,0.0,200.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFKANJI,$KANJIM,F,U,4.0,0.0,200.0,0.0,10.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFKANJI,$KANJIX,F,U,2.0,0.0,200.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIKANJI,$KANJIX,I,U,4.0,0.0,200.0,0.0,10.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFKTRUN,$KTRUNC,F,U,1.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIKTRUN,$KTRUNC,I,U,1.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFLOGVS,$LOGVS,F,U,1.0,0.0,32767.0,0.0,200.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWILOGVS,$LOGVS,I,U,1.0,0.0,32767.0,0.0,200.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFLOGVS,$LOGVSR,F,U,1.0,0.0,32767.0,0.0,200.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWILOGVS,$LOGVSR,I,U,1.0,0.0,32767.0,0.0,200.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFMSGCA,$MSGCASE,F,U,1.0,0.0,32767.0,0.0,1.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFN8601,$N8601B,F,U,1.0,0.0,200.0,6.0,50.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIN8601,$N8601B,I,U,1.0,0.0,200.0,6.0,50.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFN8601,$N8601BA,F,U,1.0,0.0,200.0,6.0,50.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFN8601,$N8601E,F,U,1.0,0.0,200.0,6.0,50.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIN8601,$N8601E,I,U,1.0,0.0,200.0,6.0,50.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFN8601,$N8601EA,F,U,1.0,0.0,200.0,6.0,50.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFN8601,$N8601EH,F,U,1.0,0.0,200.0,6.0,50.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFN8601,$N8601EX,F,U,1.0,0.0,200.0,6.0,50.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFN8601,$N8601H,F,U,1.0,0.0,200.0,6.0,50.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFN8601,$N8601X,F,U,1.0,0.0,200.0,6.0,50.0,0.0
,,,,$OCTAL,F,B,1.0,0.0,32767.0,0.0,3.0,0.0
,,,,$OCTAL,I,B,1.0,0.0,32767.0,0.0,3.0,0.0
,,,,$PHEX,I,B,1.0,0.0,32767.0,0.0,2.0,0.0
,,,,$QUOTE,F,B,1.0,0.0,32767.0,0.0,8.0,0.0
,,,,$QUOTE,I,B,1.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFREVER,$REVERJ,F,U,1.0,0.0,32767.0,0.0,1.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIREVER,$REVERJ,I,U,1.0,0.0,32767.0,0.0,1.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFREVER,$REVERS,F,U,1.0,0.0,32767.0,0.0,1.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIREVER,$REVERS,I,U,1.0,0.0,32767.0,0.0,1.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFROMAJ,$ROMAJI,F,U,1.0,0.0,200.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIROMAJ,$ROMAJI,I,U,1.0,0.0,200.0,0.0,8.0,0.0
,,,,$SASNAME,I,B,1.0,0.0,32767.0,0.0,1.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFUCS2B,$UCS2B,F,U,2.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIUCS2B,$UCS2B,I,U,2.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFUCS2B,$UCS2BE,F,U,2.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIUCS2B,$UCS2BE,I,U,2.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFUCS2L,$UCS2L,F,U,2.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIUCS2L,$UCS2L,I,U,2.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFUCS2L,$UCS2LE,F,U,2.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIUCS2L,$UCS2LE,I,U,2.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFUCS2X,$UCS2X,F,U,2.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIUCS2X,$UCS2X,I,U,2.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFUCS2X,$UCS2XE,F,U,2.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIUCS2X,$UCS2XE,I,U,2.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFUCS4B,$UCS4B,F,U,4.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIUCS4B,$UCS4B,I,U,4.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFUCS4B,$UCS4BE,F,U,4.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIUCS4B,$UCS4BE,I,U,4.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFUCS4L,$UCS4L,F,U,4.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIUCS4L,$UCS4L,I,U,4.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFUCS4L,$UCS4LE,F,U,4.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIUCS4L,$UCS4LE,I,U,4.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFUCS4X,$UCS4X,F,U,4.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIUCS4X,$UCS4X,I,U,4.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFUCS4X,$UCS4XE,F,U,4.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIUCS4X,$UCS4XE,I,U,4.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFUESC,$UESC,F,U,1.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIUESC,$UESC,I,U,1.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFUESCE,$UESCE,F,U,1.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIUESCE,$UESCE,I,U,1.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFUNCR,$UNCR,F,U,1.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIUNCR,$UNCR,I,U,1.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFUNCRE,$UNCRE,F,U,1.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIUNCRE,$UNCRE,I,U,1.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFUPARE,$UPAREN,F,U,7.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIUPARE,$UPAREN,I,U,1.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFUPARE,$UPARENE,F,U,1.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIUPARE,$UPARENE,I,U,1.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIUPARE,$UPARENP,I,U,1.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFUPCAS,$UPCASE,F,U,1.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIUPCAS,$UPCASE,I,U,1.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFUTF8X,$UTF8X,F,U,1.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIUTF8X,$UTF8X,I,U,1.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFUTF8X,$UTF8XE,F,U,1.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIUTF8X,$UTF8XE,I,U,1.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFUUID,$UUID,F,U,1.0,0.0,200.0,0.0,36.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIUUID,$UUID,I,U,1.0,0.0,200.0,0.0,36.0,0.0
,,,,$VARYING,F,B,1.0,0.0,32767.0,0.0,8.0,0.0
,,,,$VARYING,I,B,1.0,0.0,32767.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFVSLOG,$VSLOG,F,U,1.0,0.0,32767.0,0.0,200.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWIVSLOG,$VSLOG,I,U,1.0,0.0,32767.0,0.0,200.0,0.0
