source,fncname,minarg,maxarg,fnctype,fncargs,fncprod
U,,2.0,2.0,N,10.0,B
U,AARRAY_ADD,3.0,32767.0,N,218.0,B
U,AARRAY_CLEAR,1.0,1.0,N,6.0,B
U,AARRAY_DELETE,0.0,32767.0,B,2.0,B
U,AARRAY_DELETEKEY,2.0,2.0,N,62.0,B
U,AARRAY_GETC,2.0,2.0,C,58.0,B
U,AARRAY_GETN,2.0,2.0,N,58.0,B
U,AARRAY_HASKEY,2.0,2.0,N,62.0,B
U,AARRAY_REPORT,0.0,32767.0,B,2.0,B
U,AARRAY_SET,3.0,3.0,N,510.0,B
U,ABORT,2.0,2.0,B,45.0,B
B,ABS,1.0,1.0,N,1.0,X
U,ACCEPTATTACHMENT,5.0,5.0,B,21677.0,B
U,ADDR,1.0,1.0,N,3.0,B
U,ADDRLONG,1.0,1.0,C,3.0,B
U,AIRY,1.0,1.0,N,1.0,X
U,ALLCOMB,3.0,0.0,B,1073741769.0,B
U,ALLCOMB,3.0,0.0,N,1073741769.0,B
U,ALLCOMBI,3.0,0.0,B,766958409.0,B
U,ALLPER,2.0,0.0,B,1073741817.0,X
U,ALLPER,2.0,0.0,N,1073741817.0,X
U,ALLPERM,2.0,0.0,B,1073741817.0,X
U,ALLPERM,2.0,0.0,N,1073741817.0,X
U,ANONCT,4.0,4.0,N,585.0,B
U,ANORM420,1.0,2.0,C,18.0,B
B,ANYALNUM,1.0,2.0,N,10.0,X
B,ANYALPHA,1.0,2.0,N,10.0,X
B,ANYCNTRL,1.0,2.0,N,10.0,X
B,ANYDIGIT,1.0,2.0,N,10.0,X
B,ANYFIRST,1.0,2.0,N,10.0,X
B,ANYGRAPH,1.0,2.0,N,10.0,X
B,ANYLOWER,1.0,2.0,N,10.0,X
B,ANYNAME,1.0,2.0,N,10.0,X
B,ANYPRINT,1.0,2.0,N,10.0,X
B,ANYPUNCT,1.0,2.0,N,10.0,X
B,ANYSPACE,1.0,2.0,N,10.0,X
B,ANYUPPER,1.0,2.0,N,10.0,X
B,ANYWORD,1.0,2.0,N,10.0,B
B,ANYXDIGIT,1.0,2.0,N,10.0,X
U,AOQ2,8.0,8.0,N,2396746.0,B
U,APPSRVGETC,1.0,1.0,C,2.0,B
U,APPSRVGETN,1.0,1.0,N,2.0,B
U,APPSRVSET,2.0,2.0,N,10.0,B
U,APPSRV_AUTHCLS,1.0,1.0,C,2.0,B
U,APPSRV_AUTHDS,1.0,1.0,N,2.0,B
U,APPSRV_AUTHLIB,0.0,5.0,N,9362.0,B
U,APPSRV_HEADER,2.0,2.0,C,18.0,B
U,APPSRV_SESSION,1.0,2.0,N,10.0,B
U,APPSRV_UNSAFE,1.0,1.0,C,2.0,B
B,ARCOS,1.0,1.0,N,1.0,X
U,ARCOSH,1.0,1.0,N,1.0,X
B,ARSIN,1.0,1.0,N,1.0,X
U,ARSINH,1.0,1.0,N,1.0,X
U,ARTANH,1.0,1.0,N,1.0,X
U,ASN2,7.0,7.0,N,299594.0,B
B,ATAN,1.0,1.0,N,1.0,X
B,ATAN2,2.0,2.0,N,9.0,X
U,ATI2,7.0,7.0,N,299593.0,B
U,ATTRC,2.0,2.0,C,17.0,B
U,ATTRN,2.0,2.0,N,17.0,B
B,BAND,2.0,2.0,N,9.0,X
U,BASECHAR,1.0,2.0,C,18.0,X
U,BAYESACT,7.0,0.0,B,299593.0,B
U,BEGINTRANSACTION,3.0,3.0,B,365.0,B
U,BETA,2.0,2.0,N,9.0,X
B,BETAINV,3.0,3.0,N,73.0,X
U,BIPFXML,1.0,1.0,C,2.0,B
