libname,memname,memtype,name,idxusage,indxname,indxpos,nomiss,unique
MAPS,ITALY2,DATA,REGNAME,SIMPLE,REGNAME,,no,no
MAPS,PHILIPP2,DATA,ISLAND_GROUP,SIMPLE,ISLAND_GROUP,,no,no
MAPS,PHILIPP2,DATA,REGNAME,SIMPLE,REGNAME,,no,no
MAPS,PHILIPP2,DATA,ISLAND_GROUP,COMPOSITE,IslandRegion,0.0,no,no
MAPS,PHILIPP2,DATA,REGNAME,COMPOSITE,IslandRegion,10.0,no,no
MAPS,SPAIN2,DATA,REGNAME,SIMPLE,REGNAME,,no,no
MAPS,THAILAN2,DATA,REGNAME,SIMPLE,REGNAME,,no,no
SASHELP,AACOMP,DATA,locale,COMPOSITE,indx,0.0,no,no
SASHELP,AACOMP,DATA,key,COMPOSITE,indx,5.0,no,no
SASHELP,AARFM,DATA,locale,COMPOSITE,indx,0.0,no,no
SASHELP,AARFM,DATA,key,COMPOSITE,indx,5.0,no,no
SASHELP,ADSMSG,DATA,MNEMONIC,SIMPLE,MNEMONIC,,no,no
SASHELP,ADSMSG,DATA,MSGID,SIMPLE,MSGID,,no,no
SASHELP,AFMSG,DATA,MSGID,SIMPLE,MSGID,,no,no
SASHELP,AFMSG,DATA,MNEMONIC,SIMPLE,MNEMONIC,,no,no
SASHELP,CLNMSG,DATA,MNEMONIC,SIMPLE,MNEMONIC,,no,no
SASHELP,CLNMSG,DATA,MSGID,SIMPLE,MSGID,,no,no
SASHELP,CREDIT,DATA,locale,COMPOSITE,indx,0.0,no,no
SASHELP,CREDIT,DATA,key,COMPOSITE,indx,5.0,no,no
SASHELP,DESKACT,DATA,objtype,COMPOSITE,objsub,0.0,no,no
SASHELP,DESKACT,DATA,subtype,COMPOSITE,objsub,8.0,no,no
SASHELP,DESKFD,DATA,feedcls,SIMPLE,feedcls,,no,no
SASHELP,DESKOBJ,DATA,objtype,COMPOSITE,objsub,0.0,no,no
SASHELP,DESKOBJ,DATA,subtype,COMPOSITE,objsub,8.0,no,no
SASHELP,DMCAS,DATA,locale,COMPOSITE,indx,0.0,no,no
SASHELP,DMCAS,DATA,key,COMPOSITE,indx,5.0,no,no
SASHELP,DMGMSG,DATA,MNEMONIC,SIMPLE,MNEMONIC,,no,no
SASHELP,DMGMSG,DATA,MSGID,SIMPLE,MSGID,,no,no
SASHELP,DMINE,DATA,locale,COMPOSITE,indx,0.0,no,no
SASHELP,DMINE,DATA,key,COMPOSITE,indx,5.0,no,no
SASHELP,EISMBRP,DATA,v7regname,SIMPLE,v7regname,,yes,yes
SASHELP,EISMBRP,DATA,mbname,SIMPLE,mbname,,yes,no
SASHELP,EISMBRP,DATA,mbname,COMPOSITE,mainkey,0.0,yes,yes
SASHELP,EISMBRP,DATA,v6regname,COMPOSITE,mainkey,17.0,yes,yes
SASHELP,EISMSG,DATA,MNEMONIC,SIMPLE,MNEMONIC,,no,no
SASHELP,EISMSG,DATA,MSGID,SIMPLE,MSGID,,no,no
SASHELP,ETSMSG,DATA,MNEMONIC,SIMPLE,MNEMONIC,,no,no
SASHELP,ETSMSG,DATA,MSGID,SIMPLE,MSGID,,no,no
SASHELP,FEEDDET,DATA,feedcls,SIMPLE,feedcls,,no,no
SASHELP,FEEDER,DATA,feedcls,SIMPLE,feedcls,,no,no
SASHELP,FORECASTBAT,DATA,locale,COMPOSITE,indx,0.0,no,no
SASHELP,FORECASTBAT,DATA,key,COMPOSITE,indx,5.0,no,no
SASHELP,GCDIRECT,DATA,DIRECTION,SIMPLE,DIRECTION,,no,no
SASHELP,GEOEXM,DATA,Name2,COMPOSITE,Name2_Zip,0.0,yes,no
SASHELP,GEOEXM,DATA,ZIP,COMPOSITE,Name2_Zip,22.0,yes,no
SASHELP,GEOEXM,DATA,Name2,COMPOSITE,Name2_Zcta,0.0,yes,no
SASHELP,GEOEXM,DATA,ZCTA,COMPOSITE,Name2_Zcta,22.0,yes,no
SASHELP,GEOEXM,DATA,Name2,COMPOSITE,Name2_MapIDNameAbrv_City2,0.0,yes,no
SASHELP,GEOEXM,DATA,MapIDNameAbrv,COMPOSITE,Name2_MapIDNameAbrv_City2,22.0,yes,no
SASHELP,GEOEXM,DATA,City2,COMPOSITE,Name2_MapIDNameAbrv_City2,24.0,yes,no
SASHELP,GNGMSG,DATA,MSGID,SIMPLE,MSGID,,no,no
SASHELP,GNGMSG,DATA,MNEMONIC,SIMPLE,MNEMONIC,,no,no
SASHELP,IMGMSG,DATA,mnemonic,SIMPLE,mnemonic,,no,no
SASHELP,IMGMSG,DATA,msgid,SIMPLE,msgid,,no,no
SASHELP,LSWMSG,DATA,MNEMONIC,SIMPLE,MNEMONIC,,no,no
SASHELP,LSWMSG,DATA,MSGID,SIMPLE,MSGID,,no,no
SASHELP,MDBMSG,DATA,MNEMONIC,SIMPLE,MNEMONIC,,no,no
SASHELP,MDBMSG,DATA,MSGID,SIMPLE,MSGID,,no,no
SASHELP,METAMSG,DATA,locale,COMPOSITE,indx,0.0,no,no
