optname,opttype,offset,setting,optdesc,level,optstart,group
ACCESSIBLECHECK,Boolean,0.0,NOACCESSIBLECHECK,Detect and log ODS output that is not accessible.,Portable,anytime,ODSPRINT
ACCESSIBLEGRAPH,Boolean,0.0,NOACCESSIBLEGRAPH,Create accessible ODS graphics by default.,Portable,anytime,ODSPRINT
ACCESSIBLEPDF,Boolean,0.0,NOACCESSIBLEPDF,Create accessible PDF files by default.,Portable,anytime,ODSPRINT
ACCESSIBLETABLE,Boolean,0.0,NOACCESSIBLETABLE,"Create accessible tables for enabled procedures, by default.",Portable,anytime,ODSPRINT
ANIMATION,char,0.0,STOP,Specifies whether to start or stop animation.,Portable,anytime,ANIMATION
ANIMDURATION,char,0.0,MIN,Specifies the number of seconds that each animation frame displays.,Portable,anytime,ANIMATION
ANIMLOOP,char,0.0,YES,Specifies the number of iterations that animated images repeat.,Portable,anytime,ANIMATION
ANIMOVERLAY,Boolean,0.0,ANIMOVERLAY,Specifies that animation frames are overlaid in order to view all frames.,Portable,anytime,ANIMATION
APPEND,char,0.0,,Specifies an option=value pair to insert the value at the end of the existing option value.,Portable,anytime,ENVFILES
APPLETLOC,char,0.0,/pbr/sfw/sas/940/SASGraphJavaApplets/9.4,"Specifies the location of Java applets, which is typically a URL.",Portable,anytime,ENVFILES
ARMAGENT,char,0.0,,"Specifies an ARM agent (which is an executable module or keyword, such as LOG4SAS) that contains a specific implementation of the ARM API.",Portable,anytime,PERFORMANCE
ARMLOC,char,0.0,ARMLOG.LOG,Specifies the location of the ARM log.,Portable,anytime,PERFORMANCE
ARMSUBSYS,char,0.0,(ARM_PROC),Specifies the SAS ARM subsystems to enable or disable.,Portable,anytime,PERFORMANCE
ASYNCHIO,Boolean,0.0,NOASYNCHIO,Enables asynchronous input and output.,Portable,startup,SASFILES
AUTOCORRECT,Boolean,0.0,AUTOCORRECT,"Automatically corrects misspelled procedure names and keywords, and global statement names.",Portable,anytime,ERRORHANDLING
AUTOEXEC,char,0.0,/pbr/biconfig/940/Lev1/SASApp/WorkspaceServer/autoexec.sas,Specifies the location of the SAS AUTOEXEC files.,Portable,startup,ENVFILES
AUTOSAVELOC,char,0.0,,Specifies the location of the Program Editor auto-saved file.,Portable,anytime,ENVDISPLAY
AUTOSIGNON,Boolean,0.0,NOAUTOSIGNON,Enables a SAS/CONNECT client to automatically submit the SIGNON command remotely with the RSUBMIT command.,Portable,anytime,COMMUNICATIONS
AZUREAUTHCACHELOC,char,0.0,,Path to Azure Login info,Portable,startup,SECURITY
AZURETENANTID,char,0.0,,Azure Tenant ID,Portable,anytime,COMMUNICATIONS
BINDING,char,0.0,DEFAULT,Specifies the binding edge type of duplexed printed output.,Portable,anytime,ODSPRINT
BOMFILE,Boolean,0.0,BOMFILE,Writes the byte order mark (BOM) prefix when a Unicode-encoded file is written to an external file.,Portable,anytime,EXTFILES
BOTTOMMARGIN,char,0.0,0.000 IN,Specifies the size of the margin at the bottom of a printed page.,Portable,anytime,ODSPRINT
BUFNO,num,0.0,10,Specifies the number of buffers for processing SAS data sets.,Portable,anytime,PERFORMANCE
BUFSIZE,num,0.0,131072,Specifies the size of a buffer page for output SAS data sets.,Portable,anytime,PERFORMANCE
BYERR,Boolean,0.0,BYERR,SAS issues an error message and stops processing if the SORT procedure attempts to sort a _NULL_ data set.,Portable,anytime,ERRORHANDLING
BYLINE,Boolean,0.0,BYLINE,Prints the BY line above each BY group.,Portable,anytime,LISTCONTROL
BYSORTED,Boolean,0.0,BYSORTED,Requires observations in one or more data sets to be sorted in alphabetic or numeric order.,Portable,anytime,INPUTCONTROL
CAPS,Boolean,0.0,NOCAPS,"Converts certain types of input, and all data lines, into uppercase characters.",Portable,anytime,INPUTCONTROL
CARDIMAGE,Boolean,0.0,NOCARDIMAGE,Processes SAS source code and data lines as 80-byte records.,Portable,anytime,INPUTCONTROL
CASAUTHINFO,char,0.0,,Specifies an authinfo or netrc file that includes authentication information.,Portable,anytime,CAS
CASDATALIMIT,char,0.0,100M,Specifies the maximum number of bytes that can be read from a file.,Portable,anytime,CAS
CASHOST,char,0.0,,The CAS server name associated with a CAS session.,Portable,anytime,CAS
CASLIB,char,0.0,,Specify the default CASLIB name.,Portable,anytime,CAS
CASNCHARMULTIPLIER,char,0.0,1.5,Specifies a multiplication factor to increase the number of bytes when transcoding fixed CHAR data.,Portable,anytime,CAS
CASNWORKERS,char,0.0,ALL,Specify the number of workers to use with a CAS session.,Portable,anytime,CAS
CASPORT,num,0.0,0,The port associated with a CAS session.,Portable,anytime,CAS
CASSESSOPTS,char,0.0,,Identify CAS server session options.,Portable,anytime,CAS
CASTIMEOUT,num,0.0,60,The CAS session timeout in seconds.,Portable,anytime,CAS
CASUSER,char,0.0,,The userid associated with a CAS session.,Portable,anytime,CAS
CATCACHE,num,0.0,0,Specifies the number of SAS catalogs to keep open in cache memory.,Portable,startup,SASFILES
CBUFNO,num,0.0,0,Specifies the number of extra page buffers to allocate for each open SAS catalog.,Portable,anytime,SASFILES
CENTER,Boolean,0.0,CENTER,Center SAS procedure output.,Portable,anytime,LISTCONTROL
CGOPTIMIZE,num,0.0,3,Specifies the level of optimization to perform during code compilation.,Portable,anytime,CODEGEN
CHARCODE,Boolean,0.0,NOCHARCODE,Substitutes specific keyboard combinations for special characters that are not on the keyboard.,Portable,anytime,ENVDISPLAY
CHKPTCLEAN,Boolean,0.0,NOCHKPTCLEAN,Erases files in the Work library after a batch program successfully executes in checkpoint mode or restart mode.,Portable,startup,ERRORHANDLING
CLEANUP,Boolean,0.0,CLEANUP,Performs automatic continuous cleanup of non-essential resources in out-of-resource conditions.,Portable,anytime,ERRORHANDLING
CMDMAC,Boolean,0.0,NOCMDMAC,Checks window environment commands for command-style macros.,Portable,anytime,MACRO
CMPLIB,char,0.0,,Specifies one or more SAS data sets that contain compiler subroutines to include during compilation.,Portable,anytime,SASFILES
CMPMODEL,char,0.0,BOTH,Specifies the output model type for the MODEL procedure.,Portable,anytime,PERFORMANCE
CMPOPT,char,0.0,(NOPRECISE NOPROFILE NODEBUGHOST NODEBUGPORT NOEXTRAMATH NOMISSCHECK NOGUARDCHECK NOGENSYMNAMES SHORTCIRCUIT NOFUNCDIFFERENCING),Specifies the type of code-generation optimizations to use in the SAS language compiler.,Portable,anytime,PERFORMANCE
COLLATE,Boolean,0.0,NOCOLLATE,Collates multiple copies of printed output.,Portable,anytime,ODSPRINT
COLOPHON,char,0.0,,Specifies the comment text that is included in graphic stream files.,Portable,anytime,ODSPRINT
COLORPRINTING,Boolean,0.0,COLORPRINTING,Prints in color if color printing is supported.,Portable,anytime,ODSPRINT
COMAMID,char,0.0,TCP,Specifies the communication access method for connecting client and server sessions across a network.,Portable,anytime,COMMUNICATIONS
COMPRESS,char,0.0,NO,Specifies the type of compression to use for observations in output SAS data sets.,Portable,anytime,PERFORMANCE
CONNECTEVENTS,Boolean,0.0,CONNECTEVENTS,Clients receive SAS events propagated from a SAS/CONNECT server.,Portable,anytime,COMMUNICATIONS
CONNECTMETACONNECTION,Boolean,0.0,CONNECTMETACONNECTION,"At sign-on, connects the SAS/CONNECT server to the SAS Metadata server.",Portable,anytime,COMMUNICATIONS
CONNECTOUTPUT,char,0.0,BUFFERED,"Specifies whether to send the SAS/CONNECT server log and list output immediately, or to buffer the output.",Portable,anytime,COMMUNICATIONS
CONNECTPERSIST,Boolean,0.0,CONNECTPERSIST,Continues a client/server connection after an RSUBMIT statement has completed.,Portable,anytime,COMMUNICATIONS
CONNECTREMOTE,char,0.0,,Specifies the ID of a specific server session that a client connects to.,Portable,anytime,COMMUNICATIONS
