libname,memname
MAPS,AFGHANI2
MAPS,AFGHANIS
MAPS,AFRICA
MAPS,AFRICA2
MAPS,ALGERIA
MAPS,ALGERIA2
MAPS,ANDORRA
MAPS,ANDORRA2
MAPS,ANOMALY
MAPS,ANTARCT2
MAPS,ANTARCTI
MAPS,ARGENTI2
MAPS,ARGENTIN
MAPS,ARMENIA
MAPS,ARMENIA2
MAPS,ASIA
MAPS,ASIA2
MAPS,AUSTRAL
MAPS,AUSTRAL2
MAPS,AUSTRIA
MAPS,AUSTRIA2
MAPS,AZERBAI2
MAPS,AZERBAIJ
MAPS,BANGLAD2
MAPS,BANGLADE
MAPS,BELARUS
MAPS,BELARUS2
MAPS,BELGIUM
MAPS,BELGIUM2
MAPS,BELIZE
MAPS,BELIZE2
MAPS,BHUTAN
MAPS,BHUTAN2
MAPS,BOLIVIA
MAPS,BOLIVIA2
MAPS,BOSNIAH2
MAPS,BOSNIAHE
MAPS,BRAZIL
MAPS,BRAZIL2
MAPS,BRUNEI
MAPS,BRUNEI2
MAPS,BULGARI2
MAPS,BULGARIA
MAPS,CAMBODI2
MAPS,CAMBODIA
MAPS,CANADA
MAPS,CANADA2
MAPS,CANADA3
MAPS,CANADA4
MAPS,CANCENS
MAPS,CHILE
MAPS,CHILE2
MAPS,CHINA
MAPS,CHINA2
MAPS,CNTYNAME
MAPS,COLOMBI2
MAPS,COLOMBIA
MAPS,COSTRIC2
MAPS,COSTRICA
MAPS,COUNTIES
MAPS,COUNTY
MAPS,CROATIA
MAPS,CROATIA2
MAPS,CUBA
MAPS,CUBA2
MAPS,CYPRUS
MAPS,CYPRUS2
MAPS,CZECH
MAPS,CZECH2
MAPS,DENMARK
MAPS,DENMARK2
MAPS,DOMINRE2
MAPS,DOMINREP
MAPS,ECUADOR
MAPS,ECUADOR2
MAPS,EGYPT
MAPS,EGYPT2
MAPS,ERITREA
MAPS,ERITREA2
MAPS,ESTONIA
MAPS,ESTONIA2
MAPS,ETHIOPI2
MAPS,ETHIOPIA
MAPS,EUROPE
MAPS,EUROPE2
MAPS,FGUIANA
MAPS,FGUIANA2
MAPS,FINLAND
MAPS,FINLAND2
MAPS,FRANCE
MAPS,FRANCE2
MAPS,GAZASTR2
MAPS,GAZASTRI
MAPS,GEORGIA
MAPS,GEORGIA2
MAPS,GERMANY
MAPS,GERMANY2
MAPS,GREECE
MAPS,GREECE2
MAPS,GUATEMA2
MAPS,GUATEMAL
MAPS,GUYANA
MAPS,GUYANA2
MAPS,HAITI
MAPS,HAITI2
MAPS,HKDB1
MAPS,HKDB2
MAPS,HKKWDB1
MAPS,HKKWDB2
MAPS,HKKWPU1
MAPS,HKKWPU2
MAPS,HKNTDB1
MAPS,HKNTDB2
MAPS,HKNTPU1
MAPS,HKNTPU2
MAPS,HKPU1
