libname,memname,memtype
MAPS,AFGHANI2,DATA
MAPS,AFGHANIS,DATA
MAPS,AFRICA,DATA
MAPS,AFRICA2,DATA
MAPS,ALGERIA,DATA
MAPS,ALGERIA2,DATA
MAPS,ANDORRA,DATA
MAPS,ANDORRA2,DATA
MAPS,ANOMALY,DATA
MAPS,ANTARCT2,DATA
MAPS,ANTARCTI,DATA
MAPS,ARGENTI2,DATA
MAPS,ARGENTIN,DATA
MAPS,ARMENIA,DATA
MAPS,ARMENIA2,DATA
MAPS,ASIA,DATA
MAPS,ASIA2,DATA
MAPS,AUSTRAL,DATA
MAPS,AUSTRAL2,DATA
MAPS,AUSTRIA,DATA
MAPS,AUSTRIA2,DATA
MAPS,AZERBAI2,DATA
MAPS,AZERBAIJ,DATA
MAPS,BANGLAD2,DATA
MAPS,BANGLADE,DATA
MAPS,BELARUS,DATA
MAPS,BELARUS2,DATA
MAPS,BELGIUM,DATA
MAPS,BELGIUM2,DATA
MAPS,BELIZE,DATA
MAPS,BELIZE2,DATA
MAPS,BHUTAN,DATA
MAPS,BHUTAN2,DATA
MAPS,BOLIVIA,DATA
MAPS,BOLIVIA2,DATA
MAPS,BOSNIAH2,DATA
MAPS,BOSNIAHE,DATA
MAPS,BRAZIL,DATA
MAPS,BRAZIL2,DATA
MAPS,BRUNEI,DATA
MAPS,BRUNEI2,DATA
MAPS,BULGARI2,DATA
MAPS,BULGARIA,DATA
MAPS,CAMBODI2,DATA
MAPS,CAMBODIA,DATA
MAPS,CANADA,DATA
MAPS,CANADA2,DATA
MAPS,CANADA3,DATA
MAPS,CANADA4,DATA
MAPS,CANCENS,DATA
MAPS,CHILE,DATA
MAPS,CHILE2,DATA
MAPS,CHINA,DATA
MAPS,CHINA2,DATA
MAPS,CNTYNAME,DATA
MAPS,COLOMBI2,DATA
MAPS,COLOMBIA,DATA
MAPS,COSTRIC2,DATA
MAPS,COSTRICA,DATA
MAPS,COUNTIES,DATA
MAPS,COUNTY,DATA
MAPS,CROATIA,DATA
MAPS,CROATIA2,DATA
MAPS,CUBA,DATA
MAPS,CUBA2,DATA
MAPS,CYPRUS,DATA
MAPS,CYPRUS2,DATA
MAPS,CZECH,DATA
MAPS,CZECH2,DATA
MAPS,DENMARK,DATA
MAPS,DENMARK2,DATA
MAPS,DOMINRE2,DATA
MAPS,DOMINREP,DATA
MAPS,ECUADOR,DATA
MAPS,ECUADOR2,DATA
MAPS,EGYPT,DATA
MAPS,EGYPT2,DATA
MAPS,ERITREA,DATA
MAPS,ERITREA2,DATA
MAPS,ESTONIA,DATA
MAPS,ESTONIA2,DATA
MAPS,ETHIOPI2,DATA
MAPS,ETHIOPIA,DATA
MAPS,EUROPE,DATA
MAPS,EUROPE2,DATA
MAPS,FGUIANA,DATA
MAPS,FGUIANA2,DATA
MAPS,FINLAND,DATA
MAPS,FINLAND2,DATA
MAPS,FRANCE,DATA
MAPS,FRANCE2,DATA
MAPS,GAZASTR2,DATA
MAPS,GAZASTRI,DATA
MAPS,GEORGIA,DATA
MAPS,GEORGIA2,DATA
MAPS,GERMANY,DATA
MAPS,GERMANY2,DATA
MAPS,GREECE,DATA
MAPS,GREECE2,DATA
MAPS,GUATEMA2,DATA
MAPS,GUATEMAL,DATA
MAPS,GUYANA,DATA
MAPS,GUYANA2,DATA
MAPS,HAITI,DATA
MAPS,HAITI2,DATA
MAPS,HKDB1,DATA
MAPS,HKDB2,DATA
MAPS,HKKWDB1,DATA
MAPS,HKKWDB2,DATA
MAPS,HKKWPU1,DATA
MAPS,HKKWPU2,DATA
MAPS,HKNTDB1,DATA
MAPS,HKNTDB2,DATA
MAPS,HKNTPU1,DATA
MAPS,HKNTPU2,DATA
MAPS,HKPU1,DATA
MAPS,HKPU2,DATA
MAPS,HONDURA2,DATA
MAPS,HONDURAS,DATA
MAPS,HUNGARY,DATA
MAPS,HUNGARY2,DATA
MAPS,INDIA,DATA
MAPS,INDIA2,DATA
MAPS,INDONES2,DATA
MAPS,INDONESI,DATA
MAPS,IRAN,DATA
MAPS,IRAN2,DATA
MAPS,IRAQ,DATA
MAPS,IRAQ2,DATA
MAPS,IRAQSAU2,DATA
MAPS,IRAQSAUD,DATA
MAPS,IRELAND,DATA
MAPS,IRELAND2,DATA
MAPS,ISRAEL,DATA
MAPS,ISRAEL2,DATA
MAPS,ITALY,DATA
MAPS,ITALY2,DATA
MAPS,IVORY,DATA
MAPS,IVORY2,DATA
MAPS,JAMAICA,DATA
MAPS,JAMAICA2,DATA
MAPS,JAOSAKA,DATA
MAPS,JAOSAKA2,DATA
MAPS,JAPAN,DATA
MAPS,JAPAN2,DATA
MAPS,JATOKYO,DATA
MAPS,JATOKYO2,DATA
MAPS,JDESC,DATA
MAPS,JDESCE,DATA
MAPS,KAZAKHS2,DATA
MAPS,KAZAKHST,DATA
MAPS,KENYA,DATA
MAPS,KENYA2,DATA
MAPS,KOREANO2,DATA
MAPS,KOREANOR,DATA
MAPS,KOREASO2,DATA
MAPS,KOREASOU,DATA
MAPS,KOSEOUL,DATA
MAPS,KOSEOUL2,DATA
MAPS,KYRGYZS2,DATA
MAPS,KYRGYZST,DATA
MAPS,LAOS,DATA
MAPS,LAOS2,DATA
MAPS,LATVIA,DATA
MAPS,LATVIA2,DATA
MAPS,LEBANON,DATA
MAPS,LEBANON2,DATA
MAPS,LIBYA,DATA
MAPS,LIBYA2,DATA
MAPS,LIECHTE2,DATA
MAPS,LIECHTEN,DATA
MAPS,LITHUAN2,DATA
MAPS,LITHUANI,DATA
MAPS,LUXEMBO2,DATA
MAPS,LUXEMBOU,DATA
MAPS,MACAU,DATA
MAPS,MACAU2,DATA
MAPS,MACEDON2,DATA
MAPS,MACEDONI,DATA
MAPS,MALAYSI2,DATA
MAPS,MALAYSIA,DATA
MAPS,METAMAPS,DATA
MAPS,MEXICO,DATA
MAPS,MEXICO2,DATA
MAPS,MOLDOVA,DATA
MAPS,MOLDOVA2,DATA
MAPS,MONACO,DATA
MAPS,MONACO2,DATA
MAPS,MONGOLI2,DATA
MAPS,MONGOLIA,DATA
MAPS,MONTENE2,DATA
MAPS,MONTENEG,DATA
MAPS,MOROCCO,DATA
MAPS,MOROCCO2,DATA
MAPS,MYANMAR,DATA
MAPS,MYANMAR2,DATA
MAPS,NAMERIC2,DATA
MAPS,NAMERICA,DATA
MAPS,NAMES,DATA
MAPS,NEPAL,DATA
MAPS,NEPAL2,DATA
MAPS,NICARAG2,DATA
MAPS,NICARAGU,DATA
MAPS,NIGERIA,DATA
MAPS,NIGERIA2,DATA
MAPS,NORWAY,DATA
MAPS,NORWAY2,DATA
MAPS,NTLANDS,DATA
MAPS,NTLANDS2,DATA
MAPS,NZ,DATA
MAPS,NZ2,DATA
MAPS,OCEANIA,DATA
MAPS,OCEANIA2,DATA
MAPS,ODESC,DATA
MAPS,ODESCE,DATA
MAPS,OSAKA,DATA
MAPS,PAKISTA2,DATA
MAPS,PAKISTAN,DATA
MAPS,PANAMA,DATA
MAPS,PANAMA2,DATA
MAPS,PARAGUA2,DATA
MAPS,PARAGUAY,DATA
MAPS,PERU,DATA
MAPS,PERU2,DATA
MAPS,PHILIPP2,DATA
MAPS,PHILIPPI,DATA
MAPS,POLAND,DATA
MAPS,POLAND2,DATA
MAPS,PORTUGA2,DATA
MAPS,PORTUGAL,DATA
MAPS,ROMANIA,DATA
MAPS,ROMANIA2,DATA
MAPS,RUSSIA,DATA
MAPS,RUSSIA2,DATA
MAPS,SALVADO2,DATA
MAPS,SALVADOR,DATA
MAPS,SAMERIC2,DATA
MAPS,SAMERICA,DATA
MAPS,SANMARI2,DATA
MAPS,SANMARIN,DATA
MAPS,SAUDIAR2,DATA
MAPS,SAUDIARA,DATA
MAPS,SERBIA,DATA
MAPS,SERBIA2,DATA
MAPS,SINGAPO2,DATA
MAPS,SINGAPOR,DATA
MAPS,SLOVAKI2,DATA
MAPS,SLOVAKIA,DATA
MAPS,SLOVENI2,DATA
MAPS,SLOVENIA,DATA
MAPS,SPACIFIC,DATA
MAPS,SPAIN,DATA
MAPS,SPAIN2,DATA
MAPS,SRILANK2,DATA
MAPS,SRILANKA,DATA
MAPS,STATES,DATA
MAPS,SURINAM2,DATA
MAPS,SURINAME,DATA
MAPS,SWEDEN,DATA
MAPS,SWEDEN2,DATA
MAPS,SWITZER2,DATA
MAPS,SWITZERL,DATA
MAPS,SYRIA,DATA
MAPS,SYRIA2,DATA
MAPS,TAIWAN,DATA
MAPS,TAIWAN2,DATA
MAPS,TAJIKIS2,DATA
MAPS,TAJIKIST,DATA
MAPS,TDESC,DATA
MAPS,TDESCE,DATA
MAPS,THAILAN2,DATA
MAPS,THAILAND,DATA
MAPS,TOKYO,DATA
MAPS,TRINIDA2,DATA
MAPS,TRINIDAD,DATA
MAPS,TUNISIA,DATA
MAPS,TUNISIA2,DATA
MAPS,TURKEY,DATA
MAPS,TURKEY2,DATA
MAPS,TURKMEN2,DATA
MAPS,TURKMENI,DATA
MAPS,UK,DATA
MAPS,UK2,DATA
MAPS,UKRAINE,DATA
MAPS,UKRAINE2,DATA
MAPS,URUGUAY,DATA
MAPS,URUGUAY2,DATA
MAPS,US,DATA
MAPS,US2,DATA
MAPS,USCENTER,DATA
MAPS,USCITY,DATA
MAPS,USCOUNTY,DATA
MAPS,UZBEKIS2,DATA
MAPS,UZBEKIST,DATA
MAPS,VENEZUE2,DATA
MAPS,VENEZUEL,DATA
MAPS,VIETNAM,DATA
MAPS,VIETNAM2,DATA
MAPS,WESTBAN2,DATA
MAPS,WESTBANK,DATA
MAPS,WORLD,DATA
MAPS,ZAIRE,DATA
MAPS,ZAIRE2,DATA
MAPSGFK,AFGHANISTAN,DATA
MAPSGFK,AFGHANISTAN_ATTR,DATA
MAPSGFK,AFRICA,DATA
MAPSGFK,AFRICA1,DATA
MAPSGFK,AFRICA1_ATTR,DATA
MAPSGFK,AFRICA2,DATA
MAPSGFK,AFRICA2_ATTR,DATA
MAPSGFK,AFRICA_ATTR,DATA
MAPSGFK,ALBANIA,DATA
