MSGID,MNEMONIC,LINENO,LEVEL,TEXT,PBUTTONS
1036.0,CL_DOWN,1.0,O,Down,SASHELP.FSP.OK.SLIST
1037.0,CL_UP,1.0,O,Up,SASHELP.FSP.OK.SLIST
1038.0,CL_LEFT,1.0,O,Left,SASHELP.FSP.OK.SLIST
1039.0,CL_RIGHT,1.0,O,Right,SASHELP.FSP.OK.SLIST
1043.0,CL_EXPAND,1.0,O,Expand,SASHELP.FSP.OK.SLIST
1044.0,CL_COLLAPSE,1.0,O,Collapse,SASHELP.FSP.OK.SLIST
1070.0,CL_ROTATE,1.0,O,Rotate,SASHELP.FSP.OK.SLIST
1413.0,IO_NO_STATS_SPECIFIED,1.0,E,A statistic is required.,SASHELP.FSP.OK.SLIST
2541.0,IN_EIS_REQUIRED,1.0,N,"This application requires SAS/EIS software, which",SASHELP.FSP.OK.SLIST
2541.0,IN_EIS_REQUIRED,2.0,N,is not licensed on your machine.  SAS/EIS software,SASHELP.FSP.OK.SLIST
2541.0,IN_EIS_REQUIRED,3.0,N,is an object-oriented environment for creating and,SASHELP.FSP.OK.SLIST
2541.0,IN_EIS_REQUIRED,4.0,N,maintaining highly intuitive enterprise information,SASHELP.FSP.OK.SLIST
2541.0,IN_EIS_REQUIRED,5.0,N,"systems.  For more information, please contact your",SASHELP.FSP.OK.SLIST
2541.0,IN_EIS_REQUIRED,6.0,N,SAS site representative.,SASHELP.FSP.OK.SLIST
2885.0,CL_STATISTIC_DESCRIPTIONS,1.0,L,"Sum,Percent of Sum,Average,Total Number of Nonmissing Values,",
2885.0,CL_STATISTIC_DESCRIPTIONS,2.0,L,"Percent of Total Number,Minimum,Maximum,Range,",
2885.0,CL_STATISTIC_DESCRIPTIONS,3.0,L,"Total Number of Missing Values,Standard Deviation,",
2885.0,CL_STATISTIC_DESCRIPTIONS,4.0,L,"Standard Error of Mean,Lower Confidence Limit,Upper Confidence Limit,",
2885.0,CL_STATISTIC_DESCRIPTIONS,5.0,L,"Uncorrected Sum of Squares,Corrected Sum of Squares,",
2885.0,CL_STATISTIC_DESCRIPTIONS,6.0,L,"Variance,Coefficient of Variation,T Value,Probability of Greater Absolute Value,Sum of Weights, Unweighted Sum, Nunique",
2978.0,IN_STATISTICS,1.0,O,Statistics,SASHELP.FSP.OK.SLIST
2979.0,IN_ACROSS,1.0,O,Across,SASHELP.FSP.OK.SLIST
2980.0,IN_ANALYSIS,1.0,O,Analysis,SASHELP.FSP.OK.SLIST
2981.0,IN_INDEX_LINK,1.0,O,Select New File,SASHELP.FSP.OK.SLIST
2982.0,IN_DEFAULT_TITLE,1.0,O,Multidimensional Reports,SASHELP.FSP.OK.SLIST
2983.0,IN_REPORT_TYPE,1.0,O,Specify Report Type,SASHELP.FSP.OK.SLIST
2984.0,IN_SELECT_FILE,1.0,O,Select File,SASHELP.FSP.OK.SLIST
2985.0,IN_SELECT_SERVICE,1.0,O,Select service,SASHELP.FSP.OK.SLIST
2986.0,IN_DEBUGGING_LEVEL,1.0,O,Debugging level,SASHELP.FSP.OK.SLIST
2987.0,IN_NEXT,1.0,O,Next,SASHELP.FSP.OK.SLIST
2988.0,IN_VIEW_REPORT,1.0,O,View Report,SASHELP.FSP.OK.SLIST
2989.0,IN_APPLY,1.0,O,Apply,SASHELP.FSP.OK.SLIST
2999.0,IN_MISSING_PATH,1.0,E,Missing path parameter.,SASHELP.FSP.OK.SLIST
3000.0,IN_FILE_EXISTS_OVERWRITE,1.0,Q,File already exists. Overwrite?,SASHELP.FSP.YN.SLIST
3001.0,IN_NO_MDDBS_REGISTERED,1.0,O,No MDDBs registered in metabase.,SASHELP.FSP.OK.SLIST
3002.0,IN_UNABLE_TO_OPEN_FILE,1.0,O,Unable to open specified file.,SASHELP.FSP.OK.SLIST
3003.0,IN_HTML_TITLE,1.0,O,SAS MDDB Report Viewer,SASHELP.FSP.OK.SLIST
3004.0,IN_VERTICAL_BAR,1.0,O,Vertical bar,SASHELP.FSP.OK.SLIST
3005.0,IN_BLOCK,1.0,O,Block,SASHELP.FSP.OK.SLIST
3006.0,IN_PIE,1.0,O,Pie,SASHELP.FSP.OK.SLIST
3007.0,IN_HORIZONTAL_BAR,1.0,O,Horizontal bar,SASHELP.FSP.OK.SLIST
3008.0,IN_GRAPH_INSTRUCTIONS,1.0,O,Click on Apply to update displayed graph with new,SASHELP.FSP.OK.SLIST
3008.0,IN_GRAPH_INSTRUCTIONS,2.0,O,graph type.,SASHELP.FSP.OK.SLIST
3009.0,IN_MDDB_NOT_EXIST,1.0,O,MDDB %1$ does not exist.,SASHELP.FSP.OK.SLIST
3010.0,IN_DOWN_REQUIRED,1.0,O,Down variable is required.,SASHELP.FSP.OK.SLIST
3011.0,IN_ANALYSIS_REQUIRED,1.0,O,Analysis variable is required.,SASHELP.FSP.OK.SLIST
3012.0,IN_ACROSS_REQUIRED,1.0,O,Across variable is required.,SASHELP.FSP.OK.SLIST
3013.0,IN_PLEASE_WAIT,1.0,O,Please wait.,SASHELP.FSP.OK.SLIST
3014.0,IN_DOWN_NE_ACROSS,1.0,O,The Down and Across variables cannot be the same.,SASHELP.FSP.OK.SLIST
3015.0,IN_VAR_IS_HIERARCHY_MEMBER,1.0,O,The %1$ variable cannot be a member of the hierarchy,SASHELP.FSP.OK.SLIST
3015.0,IN_VAR_IS_HIERARCHY_MEMBER,2.0,O,selected for the %2$ variable.,SASHELP.FSP.OK.SLIST
3016.0,IN_GRAPH_TYPE_LABEL,1.0,O,Graph Type,SASHELP.FSP.OK.SLIST
3030.0,IN_NO_INPUT_PARMS,1.0,E,ERROR: Application Server Error.,SASHELP.FSP.OK.SLIST
3030.0,IN_NO_INPUT_PARMS,2.0,E,No input parameters were specified.,SASHELP.FSP.OK.SLIST
3030.0,IN_NO_INPUT_PARMS,3.0,E,You must supply at least PORT= upon invocation.,SASHELP.FSP.OK.SLIST
3031.0,IN_INCOMPATIBLE_PARMS,1.0,E,ERROR: Application Server Error.,SASHELP.FSP.OK.SLIST
3031.0,IN_INCOMPATIBLE_PARMS,2.0,E,Incompatible invocation parameters.,SASHELP.FSP.OK.SLIST
3031.0,IN_INCOMPATIBLE_PARMS,3.0,E,PORT cannot be specified with INFILE | OUTFILE | INDEVICE | OUTDEVICE.,SASHELP.FSP.OK.SLIST
3032.0,IN_INCORRECT_RELEASE,1.0,O,The application can only run using release 6.12 of,SASHELP.FSP.OK.SLIST
3032.0,IN_INCORRECT_RELEASE,2.0,O,the SAS System. The service you chose is release,SASHELP.FSP.OK.SLIST
3032.0,IN_INCORRECT_RELEASE,3.0,O,%1$. Please choose another service.,SASHELP.FSP.OK.SLIST
3035.0,IN_HTML_HEADER,1.0,E,<HTML>,SASHELP.FSP.OK.SLIST
3035.0,IN_HTML_HEADER,2.0,E,<HEAD><TITLE>Application Error</TITLE></HEAD>,SASHELP.FSP.OK.SLIST
3035.0,IN_HTML_HEADER,3.0,E,"<BODY BGCOLOR=""#FFFFFF"" TEXT=""#000000"" LINK=""#0000FF"" VLINK=""#800080"" ALINK=""#FF0000"">",SASHELP.FSP.OK.SLIST
3035.0,IN_HTML_HEADER,4.0,E,<H1>Application Error</H1>,SASHELP.FSP.OK.SLIST
3036.0,IN_APPSRV_SYSMSG,1.0,E,<P>System Message: %1$ <BR>,SASHELP.FSP.OK.SLIST
3036.0,IN_APPSRV_SYSMSG,2.0,E,System return code: %2$ </P>,SASHELP.FSP.OK.SLIST
3037.0,IN_HTML_FOOTER1,1.0,E,<HR>,SASHELP.FSP.OK.SLIST
3037.0,IN_HTML_FOOTER1,2.0,E,"<ADDRESS>Please notify <A HREF=""mailto:%1$"">%2$</A>",SASHELP.FSP.OK.SLIST
3037.0,IN_HTML_FOOTER1,3.0,E,if you are unable to correct this problem.</ADDRESS>,SASHELP.FSP.OK.SLIST
3037.0,IN_HTML_FOOTER1,4.0,E,</BODY></HTML>,SASHELP.FSP.OK.SLIST
3038.0,IN_HTML_FOOTER2,1.0,E,<HR>,SASHELP.FSP.OK.SLIST
3038.0,IN_HTML_FOOTER2,2.0,E,<ADDRESS>Please notify the administrator,SASHELP.FSP.OK.SLIST
3038.0,IN_HTML_FOOTER2,3.0,E,if you are unable to correct this problem.</ADDRESS>,SASHELP.FSP.OK.SLIST
3038.0,IN_HTML_FOOTER2,4.0,E,</BODY></HTML>,SASHELP.FSP.OK.SLIST
3039.0,IN_ERROR_PGMNAME,1.0,E,<P>Error in program name. The program name you,SASHELP.FSP.OK.SLIST
3039.0,IN_ERROR_PGMNAME,2.0,E,supplied %1$ is invalid syntax.  The proper syntax,SASHELP.FSP.OK.SLIST
3039.0,IN_ERROR_PGMNAME,3.0,E,is library.pgmname.sas</P>,SASHELP.FSP.OK.SLIST
3040.0,IN_INVALID_LIBNAME,1.0,E,<P>Libname %1$ is not a valid SAS name.</P>,SASHELP.FSP.OK.SLIST
3041.0,IN_ERROR_PGMNAME_2,1.0,E,<P>Error in program name. The program,SASHELP.FSP.OK.SLIST
