DATE,ELECTRIC,MASONRY
1977-01-01,241.9,196.6
1977-02-01,239.3,216.3
1977-03-01,245.5,235.1
1977-04-01,249.6,252.2
1977-05-01,255.7,261.5
1977-06-01,262.8,278.0
1977-07-01,268.1,280.8
1977-08-01,276.1,290.5
1977-09-01,277.1,287.4
1977-10-01,278.6,288.7
1977-11-01,276.2,286.2
1977-12-01,274.6,276.7
1978-01-01,262.1,234.3
1978-02-01,256.2,237.4
1978-03-01,259.9,270.6
1978-04-01,263.6,292.7
1978-05-01,278.0,295.5
1978-06-01,289.5,308.3
1978-07-01,296.6,306.9
1978-08-01,305.1,315.3
1978-09-01,307.8,310.6
1978-10-01,308.2,316.3
1978-11-01,310.1,310.5
1978-12-01,307.6,304.4
1979-01-01,298.2,263.7
1979-02-01,292.1,259.8
1979-03-01,294.5,303.5
1979-04-01,296.9,307.2
1979-05-01,303.3,316.8
1979-06-01,312.1,325.4
1979-07-01,322.8,328.6
1979-08-01,327.7,335.2
1979-09-01,327.0,327.9
1979-10-01,330.4,334.5
1979-11-01,329.7,328.7
1979-12-01,329.5,321.5
1980-01-01,320.3,293.8
1980-02-01,315.7,285.8
1980-03-01,312.6,292.0
1980-04-01,306.5,299.3
1980-05-01,308.6,301.7
1980-06-01,316.3,307.9
1980-07-01,319.5,310.7
1980-08-01,326.4,314.9
1980-09-01,330.8,312.7
1980-10-01,329.3,318.5
1980-11-01,330.6,307.7
1980-12-01,327.2,296.2
1981-01-01,316.2,259.2
1981-02-01,310.1,258.8
1981-03-01,308.5,271.5
1981-04-01,311.1,281.0
1981-05-01,313.6,283.7
1981-06-01,318.3,289.3
1981-07-01,321.3,291.1
1981-08-01,327.4,295.9
1981-09-01,326.7,292.7
1981-10-01,326.4,282.6
1981-11-01,322.5,275.5
1981-12-01,318.6,260.2
1982-01-01,301.9,214.3
1982-02-01,296.1,224.8
1982-03-01,298.3,228.7
1982-04-01,297.7,244.7
1982-05-01,303.5,260.4
1982-06-01,305.0,262.2
1982-07-01,307.6,270.4
