T,S004,S013,S022,S031,S040,S049,S058,S067,S076,S085,S094,S103,S112,S121,S130,S139,S148,S157,S166,S175,S193,S202,S211,S220,S247,S256,S265,S274,S283,S310,S319,S346,S355,S373,S400,S517,S535,S553,S679,S724,S778,S805,S814,S823,S832,S886,S895,S922,S949,S967,S976
1.0,5774.0,263.0,2.56816864013671,77.199951171875,6180.0,12031.0,67.5,149020.0,27.5999908447265,60.6999816894531,35.9199829101562,191562.0,474.0,4.39999771118164,14.3799972534179,18654.0,331.0,372.0,24.6999969482421,307198.0,205.0,101802.0,489.0,1259.0,152.199951171875,103.199951171875,1473.0,11.099998474121,82.0,2777.0,51.1899719238281,20.0,119.0,60.0,155.0,8605.0,8.19999694824218,613.0,73.0,1677.0,108.099975585937,77123.0,118.5,184.299926757812,112.4599609375,102.899963378906,103.099975585937,1361.0,2131.0,3.0,605.0
2.0,7650.0,992.0,2.58338928222656,130.5,6555.0,20306.0,62.2999877929687,154580.0,29.3999938964843,91.0999755859375,38.0599975585937,206884.0,486.89990234375,4.59999847412109,13.8099975585937,20651.0,376.0,392.0,25.0,305958.0,219.0,98612.0,698.0,2202.0,152.5,105.299987792968,1435.0,14.0,81.7999877929687,2827.0,56.6399841308593,21.0,113.0,90.0,155.0,12337.0,7.89999771118164,696.0,144.0,1829.0,110.599975585937,77347.0,118.099975585937,185.89990234375,112.989990234375,103.0,101.699951171875,1278.0,1910.0,2.79999923706054,598.0
3.0,9271.0,437.0,2.60318946838378,136.199951171875,6533.0,25513.0,112.399963378906,155500.0,26.3999938964843,106.199951171875,44.0499877929687,217342.0,484.0,4.79999923706054,12.2999954223632,20216.0,494.0,376.0,24.6999969482421,310322.0,198.0,108001.0,861.0,3071.0,154.699951171875,107.199951171875,1509.0,15.8999938964843,81.3999633789062,2864.0,56.9599914550781,23.0,110.0,104.0,159.0,11647.0,9.59999847412109,402.0,149.0,1998.0,111.599975585937,78986.0,117.399963378906,186.5,114.279968261718,111.599975585937,105.0,1443.0,2486.0,2.79999923706054,593.0
4.0,21447.0,35.0,2.62581825256347,108.899963378906,6692.0,35766.0,175.5,154470.0,24.5,112.199951171875,45.489990234375,230677.0,490.5,5.0,11.9199981689453,21503.0,630.0,386.0,24.8999938964843,310311.0,226.0,105627.0,958.0,2732.0,157.599975585937,108.5,1689.0,17.0999908447265,81.0999755859375,2924.0,60.4099731445312,24.0,105.0,101.0,159.0,9730.0,8.59999847412109,285.0,155.0,1903.0,112.199951171875,79429.0,119.399963378906,185.5,114.889953613281,120.299987792968,107.099975585937,1524.0,1953.0,2.89999961853027,585.0
5.0,28998.0,55.0,2.63719940185546,109.899963378906,6940.0,37868.0,238.799926757812,160120.0,28.6999969482421,120.099975585937,41.4499816894531,237258.0,503.0,5.19999694824218,12.1799926757812,20552.0,645.0,401.0,25.0,308746.0,234.0,103518.0,461.0,3836.0,161.299926757812,110.899963378906,1850.0,14.8999938964843,80.699951171875,2980.0,60.8699951171875,27.0,98.0,78.0,157.0,9462.0,9.39999389648437,1215.0,147.0,1880.0,117.199951171875,79241.0,118.5,187.0,115.579956054687,123.899963378906,115.699951171875,1483.0,1927.0,2.89999961853027,582.0
6.0,40991.0,140.0,2.64513969421386,119.299987792968,7258.0,47797.0,317.89990234375,165170.0,32.2999877929687,129.0,41.2599792480468,255201.0,504.699951171875,5.39999771118164,13.349998474121,23804.0,639.0,421.0,24.2999877929687,322023.0,252.0,108341.0,366.0,3695.0,162.799926757812,115.0,1967.0,21.6999969482421,81.7999877929687,3019.0,58.22998046875,30.0,98.0,64.0,174.0,6919.0,10.0,921.0,134.0,1849.0,116.099975585937,79363.0,119.899963378906,187.599975585937,116.43994140625,120.5,114.399963378906,1404.0,1761.0,2.89999961853027,575.0
7.0,69030.0,205.0,2.65164947509765,119.299987792968,7681.0,66621.0,378.5,166380.0,34.0,149.799926757812,46.9399719238281,267545.0,504.199951171875,5.59999847412109,14.4199981689453,26466.0,634.0,400.0,24.0999908447265,325783.0,206.0,110360.0,603.0,4053.0,164.0,120.199951171875,2049.0,21.0999908447265,82.8999633789062,3038.0,60.5999755859375,32.0,133.0,97.0,160.0,4690.0,5.09999847412109,916.0,137.0,1729.0,115.799987792968,80734.0,119.799987792968,188.099975585937,117.47998046875,112.199951171875,112.599975585937,1450.0,1582.0,2.69999885559082,570.0
8.0,53926.0,175.0,2.66324996948242,121.099975585937,7530.0,50626.0,378.0,171370.0,30.5999908447265,159.89990234375,49.2999877929687,282349.0,503.2998046875,5.79999923706054,15.75,28375.0,616.0,422.0,23.6999969482421,334842.0,280.0,111116.0,679.0,4531.0,166.299926757812,125.399963378906,2230.0,17.6999969482421,83.2999877929687,3049.0,61.2099914550781,30.0,168.0,86.0,175.0,4957.0,5.09999847412109,1385.0,133.0,2083.0,115.799987792968,80550.0,120.199951171875,189.39990234375,118.47998046875,111.399963378906,112.799987792968,1517.0,1720.0,2.59999847412109,570.0
9.0,81376.0,150.0,2.672119140625,110.5,7331.0,41184.0,443.39990234375,176050.0,32.1999816894531,168.799926757812,47.8299865722656,291057.0,503.599853515625,5.79999923706054,16.729995727539,25028.0,686.0,405.0,23.1999969482421,314573.0,313.0,112691.0,740.0,4203.0,168.599975585937,130.099975585937,2291.0,24.0999908447265,83.7999877929687,3081.0,63.8099975585937,26.0,158.0,54.0,180.0,6772.0,9.19999694824218,1037.0,130.0,2337.0,115.399963378906,80662.0,119.099975585937,189.89990234375,118.879943847656,109.699951171875,110.799987792968,1324.0,2125.0,2.79999923706054,575.0
10.0,50023.0,620.0,2.67676925659179,100.799987792968,7756.0,42929.0,541.19970703125,188750.0,35.5999755859375,173.0,47.1499938964843,312343.0,514.89990234375,6.0,18.6299896240234,28435.0,661.0,407.0,,323083.0,319.0,110138.0,678.0,2816.0,169.89990234375,131.89990234375,2547.0,33.7999877929687,84.2999877929687,3112.0,64.5899658203125,25.0,152.0,74.0,170.0,7179.0,6.69999694824218,776.0,185.0,2289.0,115.899963378906,81693.0,119.399963378906,192.099975585937,119.349975585937,106.599975585937,107.399963378906,1533.0,3196.0,2.79999923706054,574.0
