unicode,ibm,pcms
U+3000,4040,A1A1
U+3001,4344,A1A2
U+3002,4341,A1A3
U+3020,4345,A1A4
U+02C9,4545,A1A5
U+02C7,4546,A1A6
U+00A8,4460,A1A7
U+3003,445B,A1A8
U+3005,445D,A1A9
U+2015,444A,A1AA
U+FF5E,43A1,A1AB
U+2225,447C,A1AC
U+2026,447F,A1AD
U+2018,4461,A1AE
U+2019,4471,A1AF
U+201C,4462,A1B0
U+201D,4472,A1B1
U+3014,4463,A1B2
U+3015,4473,A1B3
U+3008,4464,A1B4
U+3009,4474,A1B5
U+300A,4465,A1B6
U+300B,4475,A1B7
U+300C,4342,A1B8
U+300D,4343,A1B9
U+300E,4442,A1BA
U+300F,4443,A1BB
U+3016,455B,A1BC
U+3017,455C,A1BD
U+3010,4466,A1BE
U+3011,4476,A1BF
U+00B1,444B,A1C0
U+00D7,447A,A1C1
U+0020,447B,A1C2
U+2236,4562,A1C3
U+2227,4563,A1C4
U+2228,4564,A1C5
U+2211,4565,A1C6
U+220F,4566,A1C7
U+222A,4567,A1C8
U+2229,4568,A1C9
U+2208,4569,A1CA
U+2237,456A,A1CB
U+221A,456B,A1CC
U+22A5,456C,A1CD
U+2225,456D,A1CE
U+2220,456E,A1CF
U+2312,456F,A1D0
U+2220,4570,A1D1
U+222B,4571,A1D2
U+222E,4572,A1D3
U+2261,4573,A1D4
U+224C,4574,A1D5
U+2248,4575,A1D6
U+223D,4576,A1D7
U+221D,4577,A1D8
U+2260,444C,A1D9
U+226E,4579,A1DA
U+226F,457A,A1DB
U+2264,4467,A1DC
U+2265,4477,A1DD
U+221E,444D,A1DE
U+2235,4478,A1DF
U+2234,4468,A120
U+2642,4469,A120
U+2640,4479,A120
U+00B0,4420,A120
U+2032,4420,A120
U+2033,4420,A120
U+2103,444E,A120
U+FF04,4220,A120
U+00A4,4520,A120
U+FF20,434A,A120
U+FF20,424A,A120
U+2030,4520,A120
U+00A7,446A,A120
U+2116,446E,A120
U+2606,4420,A120
U+2605,4420,A120
U+25CB,4420,A120
U+25CF,4420,A120
U+25CE,4420,A120
U+25C7,4420,A120
U+25C6,4420,A120
U+25A1,4420,A120
U+25A0,4420,A120
U+25B3,4420,A120
U+25B2,4420,A120
U+203B,446B,A120
U+2120,4420,A120
U+2120,4420,A120
U+2120,4420,A120
U+2120,4420,A1FD
U+3013,447D,A1FE
U+2420,45B1,A2B1
U+2420,45B2,A2B2
U+2420,45B3,A2B3
U+2420,45B4,A2B4
U+2420,45B5,A2B5
U+2420,45B6,A2B6
U+2420,45B7,A2B7
U+2420,45B8,A2B8
U+2420,45B9,A2B9
U+2420,45BA,A2BA
U+2420,45BB,A2BB
U+2420,45BC,A2BC
U+2420,45BD,A2BD
U+2420,45BE,A2BE
U+2420,45BF,A2BF
U+2420,45C0,A2C0
U+2420,45C1,A2C1
U+2420,45C2,A2C2
U+2420,45C3,A2C3
U+2420,45C4,A2C4
U+2474,45C5,A2C5
U+2475,45C6,A2C6
U+2476,45C7,A2C7
U+2477,45C8,A2C8
U+2478,45C9,A2C9
U+2479,45CA,A2CA
U+247A,45CB,A2CB
U+247B,45CC,A2CC
U+247C,45CD,A2CD
U+247D,45CE,A2CE
U+247E,45CF,A2CF
U+247F,45D0,A2D0
U+2480,45D1,A2D1
U+2420,45D2,A2D2
U+2420,45D3,A2D3
U+2420,45D4,A2D4
U+2420,45D5,A2D5
U+2420,45D6,A2D6
U+2420,45D7,A2D7
U+2420,45D8,A2D8
U+2460,4520,A2D9
U+2461,4520,A2DA
U+2462,4520,A2DB
U+2463,4520,A2DC
U+2464,4520,A2DD
U+2465,4520,A2DE
U+2466,4520,A2DF
U+2467,4520,A220
U+2468,4520,A220
U+2469,4520,A220
U+3220,4520,A220
U+3221,4520,A220
U+3222,4520,A220
U+3223,4520,A220
U+3224,4520,A220
U+3225,4520,A220
U+3226,4520,A220
U+3227,4520,A220
U+3228,4520,A220
U+3229,4520,A220
U+2160,4120,A220
U+2161,4120,A220
U+2162,4120,A220
U+2163,4120,A220
U+2164,4120,A220
U+2165,4120,A220
U+2166,4120,A220
U+2167,4120,A220
U+2168,4120,A220
U+2169,4120,A220
U+216A,4120,A220
U+216B,4120,A220
U+FF01,425A,A3A1
U+FF02,427F,A3A2
U+FF03,427B,A3A3
U+FF20,425B,A3A4
U+FF05,426C,A3A5
U+FF06,4250,A3A6
U+FF07,4450,A3A7
U+FF08,424D,A3A8
U+FF09,425D,A3A9
