ZIP,X,Y,ZIP_CLASS,CITY,STATE,STATECODE,STATENAME,COUNTY,COUNTYNM,MSA,AREACODE,AREACODES,TIMEZONE,GMTOFFSET,DST,PONAME,ALIAS_CITY,ALIAS_CITYN,CITY2,STATENAME2
9001.0,,,M,DPO,36.0,NY,New York,,none,,,,,,N,DPO,Diplomatic Post Office,,DPO,NEWYORK
9003.0,,,M,APO,36.0,NY,New York,,none,,,,,,N,APO,Army Post Office,,APO,NEWYORK
9004.0,,,M,APO,36.0,NY,New York,,none,,,,,,N,APO,Army Post Office,,APO,NEWYORK
9005.0,,,M,APO,36.0,NY,New York,,none,,,,,,N,APO,Army Post Office,,APO,NEWYORK
9006.0,,,M,APO,36.0,NY,New York,,none,,,,,,N,APO,Army Post Office,,APO,NEWYORK
9009.0,,,M,APO,36.0,NY,New York,,none,,,,,,N,APO,Army Post Office,,APO,NEWYORK
9010.0,,,M,APO,36.0,NY,New York,,none,,,,,,N,APO,Army Post Office,,APO,NEWYORK
9011.0,,,M,APO,36.0,NY,New York,,none,,,,,,N,APO,Army Post Office,,APO,NEWYORK
9012.0,,,M,APO,36.0,NY,New York,,none,,,,,,N,APO,Army Post Office,,APO,NEWYORK
9013.0,,,M,APO,36.0,NY,New York,,none,,,,,,N,APO,Army Post Office,,APO,NEWYORK
9014.0,,,M,APO,36.0,NY,New York,,none,,,,,,N,APO,Army Post Office,,APO,NEWYORK
9016.0,,,M,APO,36.0,NY,New York,,none,,,,,,N,APO,Army Post Office,,APO,NEWYORK
9020.0,,,M,APO,36.0,NY,New York,,none,,,,,,N,APO,Army Post Office,,APO,NEWYORK
9021.0,,,M,APO,36.0,NY,New York,,none,,,,,,N,APO,Army Post Office,,APO,NEWYORK
9028.0,,,M,APO,36.0,NY,New York,,none,,,,,,N,APO,Army Post Office,,APO,NEWYORK
9033.0,,,M,APO,36.0,NY,New York,,none,,,,,,N,APO,Army Post Office,,APO,NEWYORK
9034.0,,,M,APO,36.0,NY,New York,,none,,,,,,N,APO,Army Post Office,,APO,NEWYORK
9044.0,,,M,APO,36.0,NY,New York,,none,,,,,,N,APO,Army Post Office,,APO,NEWYORK
9046.0,,,M,APO,36.0,NY,New York,,none,,,,,,N,APO,Army Post Office,,APO,NEWYORK
9049.0,,,M,APO,36.0,NY,New York,,none,,,,,,N,APO,Army Post Office,,APO,NEWYORK
9053.0,,,M,APO,36.0,NY,New York,,none,,,,,,N,APO,Army Post Office,,APO,NEWYORK
9054.0,,,M,APO,36.0,NY,New York,,none,,,,,,N,APO,Army Post Office,,APO,NEWYORK
9055.0,,,M,APO,36.0,NY,New York,,none,,,,,,N,APO,Army Post Office,,APO,NEWYORK
9059.0,,,M,APO,36.0,NY,New York,,none,,,,,,N,APO,Army Post Office,,APO,NEWYORK
9060.0,,,M,APO,36.0,NY,New York,,none,,,,,,N,APO,Army Post Office,,APO,NEWYORK
9067.0,,,M,APO,36.0,NY,New York,,none,,,,,,N,APO,Army Post Office,,APO,NEWYORK
9068.0,,,M,APO,36.0,NY,New York,,none,,,,,,N,APO,Army Post Office,,APO,NEWYORK
9069.0,,,M,APO,36.0,NY,New York,,none,,,,,,N,APO,Army Post Office,,APO,NEWYORK
9075.0,,,M,APO,36.0,NY,New York,,none,,,,,,N,APO,Army Post Office,,APO,NEWYORK
9079.0,,,M,APO,36.0,NY,New York,,none,,,,,,N,APO,Army Post Office,,APO,NEWYORK
9090.0,,,M,APO,36.0,NY,New York,,none,,,,,,N,APO,Army Post Office,,APO,NEWYORK
9094.0,,,M,APO,36.0,NY,New York,,none,,,,,,N,APO,Army Post Office,,APO,NEWYORK
9095.0,,,M,APO,36.0,NY,New York,,none,,,,,,N,APO,Army Post Office,,APO,NEWYORK
