unicode,euc,ibm,pcibm,hp15,pcms
U+F303,A1A1,4040,8140,A140,8840
U+F304,A1A1,4040,8140,A140,8841
U+F305,A1A1,4040,8140,A140,8842
U+F306,A1A1,4040,8140,A140,8843
U+F307,A1A1,4040,8140,A140,8844
U+F308,A1A1,4040,8140,A140,8845
U+F309,A1A1,4040,8140,A140,8846
U+F30A,A1A1,4040,8140,A140,8847
U+F30B,A1A1,4040,8140,A140,8848
U+F30C,A1A1,4040,8140,A140,8849
U+F30D,A1A1,4040,8140,A140,884A
U+F30E,A1A1,4040,8140,A140,884B
U+F30F,A1A1,4040,8140,A140,884C
U+F310,A1A1,4040,8140,A140,884D
U+F311,A1A1,4040,8140,A140,884E
U+F312,A1A1,4040,8140,A140,884F
U+F313,A1A1,4040,8140,A140,8850
U+F314,A1A1,4040,8140,A140,8851
U+F315,A1A1,4040,8140,A140,8852
U+F316,A1A1,4040,8140,A140,8853
U+F317,A1A1,4040,8140,A140,8854
U+F318,A1A1,4040,8140,A140,8855
U+0100,A1A1,4040,8140,A140,8856
U+00C1,A1A1,4040,8140,A140,8857
U+01CD,A1A1,4040,8140,A140,8858
U+00C0,A1A1,4040,8140,A140,8859
U+0112,A1A1,4040,8140,A140,885A
U+00C9,A1A1,4040,8140,A140,885B
U+011A,A1A1,4040,8140,A140,885C
U+00C8,A1A1,4040,8140,A140,885D
U+014C,A1A1,4040,8140,A140,885E
U+00D3,A1A1,4040,8140,A140,885F
U+01D1,A1A1,4040,8140,A140,8860
U+00D2,A1A1,4040,8140,A140,8861
U+F325,A1A1,4040,8140,A140,8862
U+1EBE,A1A1,4040,8140,A140,8863
U+F327,A1A1,4040,8140,A140,8864
U+1EC0,A1A1,4040,8140,A140,8865
U+00CA,A1A1,4040,8140,A140,8866
U+0101,A1A1,4040,8140,A140,8867
U+0020,A1A1,4040,8140,A140,8868
U+01CE,A1A1,4040,8140,A140,8869
U+0020,A1A1,4040,8140,A140,886A
U+0251,A1A1,4040,8140,A140,886B
U+0113,A1A1,4040,8140,A140,886C
U+0020,A1A1,4040,8140,A140,886D
U+011B,A1A1,4040,8140,A140,886E
U+0020,A1A1,4040,8140,A140,886F
U+012B,A1A1,4040,8140,A140,8870
U+0020,A1A1,4040,8140,A140,8871
U+01D0,A1A1,4040,8140,A140,8872
U+0020,A1A1,4040,8140,A140,8873
U+014D,A1A1,4040,8140,A140,8874
U+0020,A1A1,4040,8140,A140,8875
U+01D2,A1A1,4040,8140,A140,8876
U+0020,A1A1,4040,8140,A140,8877
U+016B,A1A1,4040,8140,A140,8878
U+0020,A1A1,4040,8140,A140,8879
U+01D4,A1A1,4040,8140,A140,887A
U+0020,A1A1,4040,8140,A140,887B
U+01D6,A1A1,4040,8140,A140,887C
U+01D8,A1A1,4040,8140,A140,887D
U+01DA,A1A1,4040,8140,A140,887E
U+01DC,A1A1,4040,8140,A140,88A1
U+0020,A1A1,4040,8140,A140,88A2
U+F344,A1A1,4040,8140,A140,88A3
U+1EBF,A1A1,4040,8140,A140,88A4
U+F346,A1A1,4040,8140,A140,88A5
U+1EC1,A1A1,4040,8140,A140,88A6
U+0020,A1A1,4040,8140,A140,88A7
U+0261,A1A1,4040,8140,A140,88A8
U+F34A,A1A1,4040,8140,A140,88A9
U+F34B,A1A1,4040,8140,A140,88AA
U+F3A0,A1A1,4040,8140,A140,8940
U+F3A1,A1A1,4040,8140,A140,8941
U+650A,A1A1,4040,8140,A140,8943
U+4E3D,A1A1,4040,8140,A140,8946
U+6EDD,A1A1,4040,8140,A140,8947
U+9D4E,A1A1,4040,8140,A140,8948
U+91DF,A1A1,4040,8140,A140,8949
U+F3AC,A1A1,4040,8140,A140,894C
U+6420,A1A1,4040,8140,A140,894D
U+4F1A,A1A1,4040,8140,A140,894E
U+4F28,A1A1,4040,8140,A140,894F
U+4FA8,A1A1,4040,8140,A140,8950
U+5156,A1A1,4040,8140,A140,8951
U+5174,A1A1,4040,8140,A140,8952
U+5120,A1A1,4040,8140,A140,8953
U+5120,A1A1,4040,8140,A140,8954
U+52A1,A1A1,4040,8140,A140,8955
U+52A8,A1A1,4040,8140,A140,8956
U+533B,A1A1,4040,8140,A140,8957
U+534E,A1A1,4040,8140,A140,8958
U+53D1,A1A1,4040,8140,A140,8959
U+53D8,A1A1,4040,8140,A140,895A
U+5620,A1A1,4040,8140,A140,895B
U+5820,A1A1,4040,8140,A140,895C
U+5904,A1A1,4040,8140,A140,895D
U+5907,A1A1,4040,8140,A140,895E
U+5932,A1A1,4040,8140,A140,895F
U+5934,A1A1,4040,8140,A140,8960
U+5B66,A1A1,4040,8140,A140,8961
U+5B20,A1A1,4040,8140,A140,8962
U+5B20,A1A1,4040,8140,A140,8963
U+5C20,A1A1,4040,8140,A140,8964
U+5E20,A1A1,4040,8140,A140,8965
U+603B,A1A1,4040,8140,A140,8966
U+6520,A1A1,4040,8140,A140,8967
U+67FE,A1A1,4040,8140,A140,8968
U+6804,A1A1,4040,8140,A140,8969
U+6865,A1A1,4040,8140,A140,896A
U+6D4E,A1A1,4040,8140,A140,896B
U+70BC,A1A1,4040,8140,A140,896C
U+7535,A1A1,4040,8140,A140,896D
U+7EA4,A1A1,4040,8140,A140,896E
U+7EAC,A1A1,4040,8140,A140,896F
U+7EBA,A1A1,4040,8140,A140,8970
U+7EC7,A1A1,4040,8140,A140,8971
U+7ECF,A1A1,4040,8140,A140,8972
U+7EDF,A1A1,4040,8140,A140,8973
U+7F06,A1A1,4040,8140,A140,8974
U+7F37,A1A1,4040,8140,A140,8975
U+827A,A1A1,4040,8140,A140,8976
U+82CF,A1A1,4040,8140,A140,8977
U+836F,A1A1,4040,8140,A140,8978
U+89C6,A1A1,4040,8140,A140,8979
U+8BBE,A1A1,4040,8140,A140,897A
U+8BE2,A1A1,4040,8140,A140,897B
U+8F66,A1A1,4040,8140,A140,897C
U+8F67,A1A1,4040,8140,A140,897D
U+8F6E,A1A1,4040,8140,A140,897E
U+7411,A1A1,4040,8140,A140,89A1
U+7C20,A1A1,4040,8140,A140,89A2
U+7DCD,A1A1,4040,8140,A140,89A3
U+6946,A1A1,4040,8140,A140,89A4
U+7AC9,A1A1,4040,8140,A140,89A5
U+5227,A1A1,4040,8140,A140,89A6
U+918C,A1A1,4040,8140,A140,89AB
U+78B8,A1A1,4040,8140,A140,89AC
U+915E,A1A1,4040,8140,A140,89AD
U+80BC,A1A1,4040,8140,A140,89AE
U+8D0B,A1A1,4040,8140,A140,89B0
U+8020,A1A1,4040,8140,A140,89B1
U+F3F0,A1A1,4040,8140,A140,89B2
U+8020,A1A1,4040,8140,A140,89B5
U+9EC7,A1A1,4040,8140,A140,89B6
U+4CCD,A1A1,4040,8140,A140,89B7
U+9DC9,A1A1,4040,8140,A140,89B8
U+9E0C,A1A1,4040,8140,A140,89B9
U+4C3E,A1A1,4040,8140,A140,89BA
U+F3F9,A1A1,4040,8140,A140,89BB
U+F3FA,A1A1,4040,8140,A140,89BC
U+9E0A,A1A1,4040,8140,A140,89BD
U+F3FC,A1A1,4040,8140,A140,89BE
U+35C1,A1A1,4040,8140,A140,89BF
U+6E20,A1A1,4040,8140,A140,89C1
U+823E,A1A1,4040,8140,A140,89C2
U+7519,A1A1,4040,8140,A140,89C3
U+4911,A1A1,4040,8140,A140,89C5
U+9A6C,A1A1,4040,8140,A140,89C6
U+9A8F,A1A1,4040,8140,A140,89C7
U+9F99,A1A1,4040,8140,A140,89C8
U+7920,A1A1,4040,8140,A140,89C9
U+F408,A1A1,4040,8140,A140,89CA
U+F409,A1A1,4040,8140,A140,89CB
U+F40A,A1A1,4040,8140,A140,89CC
U+F40B,A1A1,4040,8140,A140,89CD
U+4E24,A1A1,4040,8140,A140,89CE
U+4E20,A1A1,4040,8140,A140,89CF
U+4E80,A1A1,4040,8140,A140,89D0
U+4E20,A1A1,4040,8140,A140,89D1
U+4EBF,A1A1,4040,8140,A140,89D2
U+4E20,A1A1,4040,8140,A140,89D3
U+4F37,A1A1,4040,8140,A140,89D4
U+344C,A1A1,4040,8140,A140,89D5
U+4FBD,A1A1,4040,8140,A140,89D6
U+3E48,A1A1,4040,8140,A140,89D7
U+5003,A1A1,4040,8140,A140,89D8
U+5020,A1A1,4040,8140,A140,89D9
U+347D,A1A1,4040,8140,A140,89DA
U+3420,A1A1,4040,8140,A140,89DB
U+34A5,A1A1,4040,8140,A140,89DC
U+5120,A1A1,4040,8140,A140,89DD
U+5905,A1A1,4040,8140,A140,89DE
U+51DB,A1A1,4040,8140,A140,89DF
U+5120,A1A1,4040,8140,A140,89E0
U+5205,A1A1,4040,8140,A140,89E1
U+4E20,A1A1,4040,8140,A140,89E2
U+5279,A1A1,4040,8140,A140,89E3
U+5220,A1A1,4040,8140,A140,89E4
U+5327,A1A1,4040,8140,A140,89E5
U+35C7,A1A1,4040,8140,A140,89E6
U+53A9,A1A1,4040,8140,A140,89E7
U+3551,A1A1,4040,8140,A140,89E8
U+53B0,A1A1,4040,8140,A140,89E9
U+3553,A1A1,4040,8140,A140,89EA
U+53C2,A1A1,4040,8140,A140,89EB
U+5423,A1A1,4040,8140,A140,89EC
